variable,n_nonmissing,unweighted_mean,unweighted_sd,survey_weighted_mean,survey_weighted_sd
RIDAGEYR,7957,49.935654141007916,17.76802597289317,46.74023033232199,16.37985906208532
LBXHGB,0,,,,
LBXGH,0,,,,
A,7957,0.07686313937413597,0.36864789431071193,0.05279156388496644,0.30630996884715833
G_HBA1C,7957,0.2880733944954128,0.8897140109378442,0.1902393247492593,0.7100986301021753
PHQ9_TOTAL,7957,2.984793263792887,4.066428670200424,2.827936454903233,3.821087598761779
SOMATIC_SCORE,7957,1.6601734321980646,2.0289232446082686,1.627754552499385,1.956380028223802
