variable,n,mean,sd,median,p25,p75,min,max,zero_pct
Age (years),9743,47.20137534640254,19.2245504586647,46.0,30.0,63.0,18.0,85.0,0.0
Hemoglobin (g/dL),9743,14.246474391871086,1.5837398857772487,14.3,13.2,15.4,6.2,19.7,0.0
HbA1c (%),9743,5.618936672482809,1.0339413494073446,5.4,5.1,5.8,2.0,15.6,0.0
PHQ-9 total,9743,3.034999486811044,4.059745064813036,2.0,0.0,4.0,0.0,27.0,32.854356974237916
Somatic score,9743,1.6968079646925998,2.03461047354773,1.0,0.0,3.0,0.0,9.0,37.99651031509802
A: Hb deficit (g/dL),9743,0.0832187211331212,0.37338116481953776,0.0,0.0,0.0,0.0,5.8,91.41948065277636
G: HbA1c excess (%-point),9743,0.2700400287385815,0.8699908491714708,0.0,0.0,0.09999999999999964,0.0,9.899999999999999,74.69978446063841
