group,n,mean_PHQ9,median_PHQ9,PHQ9_ge_10_n,PHQ9_ge_10_pct,mean_somatic
Neither,6741,2.9292389853137517,2.0,505,7.491470108292537,1.6278000296691886
G only,2166,3.1385041551246537,2.0,192,8.86426592797784,1.7608494921514313
A only,537,3.5232774674115457,2.0,50,9.31098696461825,2.068901303538175
Both,299,3.7926421404682276,2.0,29,9.698996655518394,2.120401337792642
