stage,n,retained_vs_previous_pct,retained_vs_first_pct
"Same-person raw core match, age 18+",11329,100.0,100.0
Complete hemoglobin,10640,93.91826286521317,93.91826286521317
Complete HbA1c,10632,99.92481203007519,93.84764762997617
Complete PHQ-9,10214,96.06847253574115,90.1580015888428
Complete A / G / PHQ,9743,95.38868220090072,86.00052961426428
Final survey X3 analysis cohort,7957,81.66889048547675,70.2356783476035
