domain,period,source,weighted_mean,weighted_sd,q01,q05,q50,q95,q99,n
A,2005-2008,A_ICA1,0.05209914618694594,0.9627725952786927,-2.1516889429194017,-1.5072581805467842,0.057427053156025434,1.614950608126944,2.1341024947681944,4615
A,2005-2008,A_ICA2,0.03798992588542847,0.9316231065855852,-3.134182670640439,-1.351852421722763,0.06656117911757953,1.3743133479242269,2.199854299445565,4615
A,2005-2008,A_ICA3,-0.13169873399708593,0.8719725804125912,-1.3619989895779347,-1.082504208113038,-0.2935918075250665,1.2817453704226378,3.1634777559660816,4615
A,2009-2018,A_ICA1,0.013578417155025006,0.9281634683510008,-2.1012937012919766,-1.4760337932877676,0.011614089410683289,1.5169346420596201,2.171090244685401,12642
A,2009-2018,A_ICA2,0.1115413703101563,0.927068739606263,-2.851010950143566,-1.3564972613106625,0.15700747535775597,1.4945722863461837,2.230426899599607,12642
A,2009-2018,A_ICA3,0.3641563469397234,0.9886605134788585,-1.1984733198549893,-0.8432633550651539,0.225926008783795,2.0099880964213157,3.8666928556748092,12642
A,2021-2023,A_ICA1,0.027310493702003162,0.9104124847779844,-2.1543461456547766,-1.4369178820791282,0.01890767598969825,1.4963475087610827,2.1938938288298067,3235
A,2021-2023,A_ICA2,-0.05241540416984408,0.9774244505118493,-3.408278984899043,-1.644202360237176,0.00861077485302104,1.3754951995253588,2.235309106631538,3235
A,2021-2023,A_ICA3,0.6946537663455199,1.0705735767765803,-0.7055581791956756,-0.4034725879989576,0.48509542591345706,2.4758828005360405,4.800383221498046,3235
G,2005-2008,G_ICA1,0.10609861393852589,0.9623494088026228,-2.169081015640751,-1.4484318932535316,0.12033207121198555,1.6325571976673139,2.938976492601626,4519
G,2005-2008,G_ICA2,-0.09958376801907765,0.821522978272401,-1.7338067938913095,-1.194600054140094,-0.12196785442534161,0.9968502966502759,2.586334202527953,4519
G,2005-2008,G_ICA3,0.11553781849399385,0.7932487390174559,-3.9995348819919956,-0.788769200210366,0.2659638191883574,0.6500263931121764,0.8245336756722663,4519
G,2009-2018,G_ICA1,-0.051820851426977316,0.9517058420715861,-2.479848004378512,-1.6204674153928225,-0.01860478818279093,1.4112230233109713,2.061534254649628,12258
G,2009-2018,G_ICA2,0.03064403027805342,0.8379420552166273,-1.6927325492509493,-1.0525249649137336,-0.011379846650338742,1.1508427374302155,3.1037710686489355,12258
G,2009-2018,G_ICA3,0.07508458231126745,0.8035064049168689,-4.093430266877647,-1.0976930985112725,0.24858506715758688,0.6489944726769347,0.8307043221515642,12258
G,2021-2023,G_ICA1,-0.03588337542225883,0.9780665291736657,-2.526246336404723,-1.679001722334759,0.021605153083277276,1.3820394776405232,2.0519888542322353,3024
G,2021-2023,G_ICA2,0.0449705931725503,0.9121028523156104,-1.7519538504689576,-1.05825551360547,-0.025049069567867357,1.2768623916767599,3.352718694227619,3024
G,2021-2023,G_ICA3,0.028754713415463814,0.9419239068233464,-5.165550040217593,-1.318118350012704,0.24980689534338446,0.6158785369905576,0.7805479674018875,3024
