stem,found_file,requested,found_columns,cycle
DEMO_E,True,DMDMARTL,DMDMARTL,0708
CBC_E,True,LBXHGB;LBXRBCSI;LBXMCVSI;LBXRDW;LBXWBCSI;LBXPLTSI,LBXHGB;LBXRBCSI;LBXMCVSI;LBXRDW;LBXWBCSI;LBXPLTSI,0708
CRP_E,False,LBXCRP,,0708
BIOPRO_E,True,LBXSAL;LBXSATSI;LBXSASSI;LBXSBU;LBXSCH;LBXSUA;LBXSTR,LBXSAL;LBXSATSI;LBXSASSI;LBXSBU;LBXSCH;LBXSUA;LBXSTR,0708
ALQ_E,False,ALQ130,,0708
SLQ_E,False,SLD010H,,0708
BPQ_E,False,BPQ020,,0708
DIQ_E,True,DIQ010;DIQ050,DIQ010;DIQ050,0708
MCQ_E,False,MCQ160B;MCQ160C;MCQ160D;MCQ160E;MCQ220,,0708
GHB_E,True,LBXGH,LBXGH,0708
GLU_E,True,LBXGLU;LBXIN,LBXGLU;LBXIN,0708
FERTIN_E,False,LBXFER,,0708
TFR_E,False,LBXTFR,,0708
FETIB_E,False,LBXIRN;LBXTIB;LBDPCT,,0708
