domain,period,n,weighted_mean_mahalanobis_d2,pct_weight_above_discovery_95pct,pct_weight_above_discovery_99pct,max_abs_within_source_corr,latent_cov_condition_number
A,2005-2008,4615,2.999999999999999,5.010859093065156,1.002472683528784,0.014496109773393523,1.2245099052255193
A,2009-2018,12642,3.537615134988453,7.649793328219546,1.4696495102104545,0.08133527785516928,1.319188238674963
A,2021-2023,3235,4.415039456338385,10.821682936254977,2.50251029896331,0.09792756775914546,1.513829153057847
G,2005-2008,4519,3.0000000000000018,5.0099391915677565,1.0084307153678502,0.07488274146524261,1.5578604977801984
G,2009-2018,12258,3.093370676632133,5.2929987382852755,1.2052406448065005,0.1252174584964693,1.6346476869281885
G,2021-2023,3024,3.715100485463881,6.894410088848807,1.8268347970869039,0.2124769577363682,1.7093156072056108
