"period","outcome","full_design_n","nonanaemic_domain_n","full_design_df","nonanaemic_domain_df"
"2005-2008","SOMATIC_SCORE",6667,3550,31,31
"2005-2008","PHQ9_TOTAL",6667,3537,31,31
"2005-2008","COGAFF_SUM",6667,3537,31,31
"2009-2018","SOMATIC_SCORE",16376,9002,78,78
"2009-2018","PHQ9_TOTAL",16376,8980,78,78
"2009-2018","COGAFF_SUM",16376,8980,78,78
"2021-2023","SOMATIC_SCORE",3996,2070,15,15
"2021-2023","PHQ9_TOTAL",3996,2061,15,15
"2021-2023","COGAFF_SUM",3996,2061,15,15
