cohort,score,item,item_label,n,weighted_n,pct,weighted_pct
replication_full_PHQ9_X3,2.0,DPQ030,Sleep problems,703,14339324.814110348,7.106034569897908,7.56619033569695
replication_full_PHQ9_X3,3.0,DPQ030,Sleep problems,863,14268211.481597673,8.72333973516628,7.528667159663785
replication_full_PHQ9_X3,0.0,DPQ040,Tired / little energy,4954,92525113.48495954,50.07581117962196,48.82117035038363
replication_full_PHQ9_X3,1.0,DPQ040,Tired / little energy,3348,67770524.01793057,33.842110583240675,35.75933250113754
replication_full_PHQ9_X3,2.0,DPQ040,Tired / little energy,776,15391478.305694772,7.843930051551602,8.121362471267949
replication_full_PHQ9_X3,3.0,DPQ040,Tired / little energy,815,13831309.949990777,8.238148185585768,7.298134677210887
replication_full_PHQ9_X3,0.0,DPQ050,Appetite problems,7427,144225275.05353332,75.07328414030123,76.10092500307042
replication_full_PHQ9_X3,1.0,DPQ050,Appetite problems,1573,30376368.029469017,15.900131406044679,16.02818718437698
replication_full_PHQ9_X3,2.0,DPQ050,Appetite problems,448,7681962.732449439,4.528454462751441,4.053412063603442
replication_full_PHQ9_X3,3.0,DPQ050,Appetite problems,445,7234819.943123884,4.498129990902658,3.817475748949181
replication_full_PHQ9_X3,0.0,DPQ060,Feeling bad about self,8207,158473804.12739417,82.95764682098454,83.6192066777039
replication_full_PHQ9_X3,1.0,DPQ060,Feeling bad about self,1130,21659439.250005815,11.422217729707874,11.428671994984498
replication_full_PHQ9_X3,2.0,DPQ060,Feeling bad about self,299,5236602.354304235,3.0223390275952693,2.763109884088556
replication_full_PHQ9_X3,3.0,DPQ060,Feeling bad about self,257,4148580.026871426,2.5977964217123217,2.1890114432230634
replication_full_PHQ9_X3,0.0,DPQ070,Concentration problems,8260,159163607.41844058,83.49337915697969,83.98318357772581
replication_full_PHQ9_X3,1.0,DPQ070,Concentration problems,1004,19480307.434376605,10.148589912059032,10.278846163059756
replication_full_PHQ9_X3,2.0,DPQ070,Concentration problems,313,5664833.276538631,3.163853229556252,2.9890672919344357
replication_full_PHQ9_X3,3.0,DPQ070,Concentration problems,316,5209677.62921984,3.194177701405034,2.7489029672800056
replication_full_PHQ9_X3,0.0,DPQ080,Psychomotor change,8857,172017498.39668086,89.52794905488729,90.76558002640391
replication_full_PHQ9_X3,1.0,DPQ080,Psychomotor change,664,11792203.161261369,6.711816435863742,6.222193495994557
replication_full_PHQ9_X3,2.0,DPQ080,Psychomotor change,192,2858363.102972897,1.9407661983220459,1.5082243805750675
replication_full_PHQ9_X3,3.0,DPQ080,Psychomotor change,180,2850361.097660519,1.819468310926918,1.5040020970264634
replication_full_PHQ9_X3,0.0,DPQ090,Death / self-harm thoughts,9539,183169534.70632103,96.42171232184373,96.64998744747787
replication_full_PHQ9_X3,1.0,DPQ090,Death / self-harm thoughts,246,4638482.803721223,2.4866066916001213,2.4475102012667143
replication_full_PHQ9_X3,2.0,DPQ090,Death / self-harm thoughts,53,841490.4924887759,0.5357323359951481,0.44401513421219346
replication_full_PHQ9_X3,3.0,DPQ090,Death / self-harm thoughts,55,868917.7560446325,0.5559486505610027,0.4584872170432295
modern_full_PHQ9_X3,0.0,DPQ010,Little interest / pleasure,1548,120139485.56250578,68.89185580774365,69.63252665112773
modern_full_PHQ9_X3,1.0,DPQ010,Little interest / pleasure,493,38578284.61699744,21.940364931019136,22.359871271050554
modern_full_PHQ9_X3,2.0,DPQ010,Little interest / pleasure,110,8150484.703768468,4.895416110369381,4.723999280482099
modern_full_PHQ9_X3,3.0,DPQ010,Little interest / pleasure,96,5665317.1992516685,4.2723631508678235,3.2836027973395976
modern_full_PHQ9_X3,0.0,DPQ020,Feeling down / depressed,1549,118031126.26311082,68.9363595905652,68.41052720258764
modern_full_PHQ9_X3,1.0,DPQ020,Feeling down / depressed,516,41373278.25288405,22.96395193591455,23.979842156803592
modern_full_PHQ9_X3,2.0,DPQ020,Feeling down / depressed,101,7365089.856476414,4.494882064975523,4.268786513591492
modern_full_PHQ9_X3,3.0,DPQ020,Feeling down / depressed,81,5764077.710052076,3.6048064085447264,3.3408441270172613
modern_full_PHQ9_X3,0.0,DPQ030,Sleep problems,1153,90775761.41011783,51.312861593235425,52.613390144556625
