domain,period,n,max_abs_roundtrip_error,mean_abs_roundtrip_error,rmse_roundtrip_error
A,2005-2008,4615,7.460698725481052e-14,1.6411686043599745e-15,2.6361618378029363e-15
A,2009-2018,12642,4.973799150320701e-14,1.940425218172838e-15,2.987323815960881e-15
A,2021-2023,3235,7.549516567451064e-14,2.209871494783192e-15,3.505712789644261e-15
G,2005-2008,4519,7.993605777301127e-15,4.577280502695066e-16,6.906192661975068e-16
G,2009-2018,12258,7.327471962526033e-15,4.490260703709361e-16,6.813846131793584e-16
G,2021-2023,3024,9.103828801926284e-15,4.502267461387231e-16,6.868607572209354e-16
