period,variable,n,mean,sd,weighted_mean,weighted_sd,min,max
2005-2008,A_OI_PC1_FZ,3550,0.08779309901901697,0.8356397622730445,0.14946314643013214,0.8142879109739838,-7.001612191399803,2.901014419361045
2005-2008,A_OI_PC2_FZ,3550,-0.026892296772950172,0.9562839869634782,0.02715920952578489,0.8949510778551821,-10.281239239225592,4.149787641045973
2005-2008,A_OI_PC3_FZ,3550,0.07909245813007884,1.0650943575495666,-0.013252490620176846,0.9447352793262539,-3.1432951877901165,20.653710703628
2005-2008,HB_MARGIN,3550,2.138056338028169,1.085207355241094,2.2206373417527687,1.0546571762763666,0.0,6.699999999999999
2005-2008,LBXRBCSI,3550,4.809546478873239,0.4580118531858899,4.812842930568607,0.4528311833148014,3.45,6.53
2005-2008,LBXMCVSI,3550,89.6781971830986,5.07402660360283,89.81996596184882,4.803893571079709,65.9,121.9
2005-2008,LBXRDW,3550,12.752732394366197,1.0144418555662917,12.615297467615099,0.8434671925262219,10.7,37.8
2009-2018,A_OI_PC1_FZ,9002,-0.17718668184154523,0.7746534326990954,-0.10125202443554303,0.761099072179491,-3.4232081804390493,2.5352631170438977
2009-2018,A_OI_PC2_FZ,9002,-0.11466480867279225,1.0067219685447772,-0.07657191910988312,0.9528106983988305,-8.220039150546326,3.5574590939101136
2009-2018,A_OI_PC3_FZ,9002,0.5198632383437123,1.0202766368824974,0.49209499419741176,0.9793991246753664,-2.783821233613005,8.853382826496393
2009-2018,HB_MARGIN,9002,1.9006776271939572,0.9962827179749499,2.011830841955458,0.9730187456508964,0.0,7.600000000000001
2009-2018,LBXRBCSI,9002,4.755273272606088,0.4557404815075869,4.7662567175876855,0.4442144163359478,3.01,8.3
2009-2018,LBXMCVSI,9002,89.8626971784048,5.068701805903353,90.07275368183312,4.777835953223945,61.5,115.3
2009-2018,LBXRDW,9002,13.28243723616974,1.0261882145313193,13.189059474261118,0.9720326395847829,10.9,23.2
2021-2023,A_OI_PC1_FZ,2070,-0.3584069228435709,0.7464625742997576,-0.2716170792405102,0.7526611031243037,-5.057772352605013,2.0363445734941266
2021-2023,A_OI_PC2_FZ,2070,-0.2696736039110719,0.9766258974045482,-0.3316651569253234,0.9626502495568533,-5.678864932905367,2.333399473115052
2021-2023,A_OI_PC3_FZ,2070,0.7827907498337413,0.9974653622913511,0.686858058786126,0.9774193952536873,-1.6908514946108542,11.379556057604322
2021-2023,HB_MARGIN,2070,1.8048309178743962,0.9450877017773922,1.8514107914111015,0.9372530413209802,0.0,5.600000000000001
2021-2023,LBXRBCSI,2070,4.736400966183575,0.4325298958190286,4.786295681521754,0.439270352455795,3.47,7.08
2021-2023,LBXMCVSI,2070,89.39159420289855,4.833825042638317,89.03951490564167,4.788249347938396,64.5,109.3
2021-2023,LBXRDW,2070,13.67985507246377,1.0497692343533176,13.594361250762585,1.001093186514717,11.6,26.8
