period,analytic_n,nonanaemic_A_eq_0_n,nonanaemic_A_eq_0_percent,nonanaemic_A_eq_0_weighted_percent,anaemic_A_gt_0_n,anaemic_A_gt_0_percent,anaemic_A_gt_0_weighted_percent
2005-2008,3830,3550,92.68929503916449,95.04134969603574,280,7.310704960835509,4.958650303964274
2009-2018,9919,9002,90.75511644318985,93.6679297005341,917,9.244883556810162,6.332070299465897
2021-2023,2261,2070,91.55241043785935,92.62587311020461,191,8.447589562140646,7.3741268897953995
