cohort,variable,n,missing_n,missing_pct
discovery_full_PHQ9_X3,LBXMCVSI,3815,0,0.0
discovery_full_PHQ9_X3,LBXRDW,3815,0,0.0
discovery_full_PHQ9_X3,LBXGH,3815,0,0.0
discovery_full_PHQ9_X3,LBXGLU,3815,0,0.0
discovery_full_PHQ9_X3,LBXIN,3815,0,0.0
discovery_full_PHQ9_X3,A,3815,0,0.0
discovery_full_PHQ9_X3,G_HBA1C,3815,0,0.0
discovery_full_PHQ9_X3,RIDAGEYR,3815,0,0.0
discovery_full_PHQ9_X3,INDFMPIR,3815,0,0.0
discovery_full_PHQ9_X3,BMXBMI,3815,0,0.0
discovery_full_PHQ9_X3,EGFR_2021,3815,0,0.0
discovery_full_PHQ9_X3,RIAGENDR,3815,0,0.0
discovery_full_PHQ9_X3,RACE,3815,0,0.0
discovery_full_PHQ9_X3,EDUC3,3815,0,0.0
discovery_full_PHQ9_X3,SMOKING3,3815,0,0.0
replication_full_PHQ9_X3,DPQ010,9893,0,0.0
replication_full_PHQ9_X3,DPQ020,9893,0,0.0
replication_full_PHQ9_X3,DPQ030,9893,0,0.0
replication_full_PHQ9_X3,DPQ040,9893,0,0.0
replication_full_PHQ9_X3,DPQ050,9893,0,0.0
replication_full_PHQ9_X3,DPQ060,9893,0,0.0
replication_full_PHQ9_X3,DPQ070,9893,0,0.0
replication_full_PHQ9_X3,DPQ080,9893,0,0.0
replication_full_PHQ9_X3,DPQ090,9893,0,0.0
replication_full_PHQ9_X3,PHQ9_TOTAL_RAW,9893,0,0.0
replication_full_PHQ9_X3,SOMATIC_SCORE_RAW,9893,0,0.0
replication_full_PHQ9_X3,COGAFF_SUM_RAW,9893,0,0.0
replication_full_PHQ9_X3,LBXHGB,9893,0,0.0
replication_full_PHQ9_X3,LBXRBCSI,9893,0,0.0
replication_full_PHQ9_X3,LBXMCVSI,9893,0,0.0
replication_full_PHQ9_X3,LBXRDW,9893,0,0.0
replication_full_PHQ9_X3,LBXGH,9893,0,0.0
replication_full_PHQ9_X3,LBXGLU,9893,0,0.0
replication_full_PHQ9_X3,LBXIN,9893,0,0.0
replication_full_PHQ9_X3,A,9893,0,0.0
replication_full_PHQ9_X3,G_HBA1C,9893,0,0.0
replication_full_PHQ9_X3,RIDAGEYR,9893,0,0.0
replication_full_PHQ9_X3,INDFMPIR,9893,0,0.0
replication_full_PHQ9_X3,BMXBMI,9893,0,0.0
replication_full_PHQ9_X3,EGFR_2021,9893,0,0.0
replication_full_PHQ9_X3,RIAGENDR,9893,0,0.0
replication_full_PHQ9_X3,RACE,9893,0,0.0
replication_full_PHQ9_X3,EDUC3,9893,0,0.0
replication_full_PHQ9_X3,SMOKING3,9893,0,0.0
modern_full_PHQ9_X3,DPQ010,2247,0,0.0
modern_full_PHQ9_X3,DPQ020,2247,0,0.0
modern_full_PHQ9_X3,DPQ030,2247,0,0.0
modern_full_PHQ9_X3,DPQ040,2247,0,0.0
modern_full_PHQ9_X3,DPQ050,2247,0,0.0
modern_full_PHQ9_X3,DPQ060,2247,0,0.0
modern_full_PHQ9_X3,DPQ070,2247,0,0.0
modern_full_PHQ9_X3,DPQ080,2247,0,0.0
modern_full_PHQ9_X3,DPQ090,2247,0,0.0
modern_full_PHQ9_X3,PHQ9_TOTAL_RAW,2247,0,0.0
modern_full_PHQ9_X3,SOMATIC_SCORE_RAW,2247,0,0.0
modern_full_PHQ9_X3,COGAFF_SUM_RAW,2247,0,0.0
modern_full_PHQ9_X3,LBXHGB,2247,0,0.0
modern_full_PHQ9_X3,LBXRBCSI,2247,0,0.0
modern_full_PHQ9_X3,LBXMCVSI,2247,0,0.0
modern_full_PHQ9_X3,LBXRDW,2247,0,0.0
modern_full_PHQ9_X3,LBXGH,2247,0,0.0
modern_full_PHQ9_X3,LBXGLU,2247,0,0.0
modern_full_PHQ9_X3,LBXIN,2247,0,0.0
modern_full_PHQ9_X3,A,2247,0,0.0
modern_full_PHQ9_X3,G_HBA1C,2247,0,0.0
modern_full_PHQ9_X3,RIDAGEYR,2247,0,0.0
modern_full_PHQ9_X3,INDFMPIR,2247,0,0.0
modern_full_PHQ9_X3,BMXBMI,2247,0,0.0
modern_full_PHQ9_X3,EGFR_2021,2247,0,0.0
modern_full_PHQ9_X3,RIAGENDR,2247,0,0.0
modern_full_PHQ9_X3,RACE,2247,0,0.0
modern_full_PHQ9_X3,EDUC3,2247,0,0.0
modern_full_PHQ9_X3,SMOKING3,2247,0,0.0
