cohort,RIAGENDR,n,weighted_n,pct,weighted_pct,variable,RACE,EDUC3,SMOKING3
discovery_primary_somatic_X3,1.0,1996,91058897.5835,52.114882506527415,49.57174732821505,RIAGENDR,,,
discovery_primary_somatic_X3,2.0,1834,92632221.837,47.885117493472585,50.42825267178496,RIAGENDR,,,
discovery_primary_somatic_X3,,661,13862642.422,17.258485639686683,7.546713453395681,RACE,1.0,,
discovery_primary_somatic_X3,,263,6755631.0485,6.866840731070496,3.677712384688134,RACE,2.0,,
discovery_primary_somatic_X3,,1969,133961418.3445,51.409921671018274,72.92754204292244,RACE,3.0,,
discovery_primary_somatic_X3,,791,19203434.5665,20.652741514360315,10.454198671706113,RACE,4.0,,
discovery_primary_somatic_X3,,146,9907993.039,3.8120104438642297,5.393833447287634,RACE,5.0,,
discovery_primary_somatic_X3,,1049,31425300.1645,27.389033942558747,17.10768613291652,EDUC3,,1.0,
discovery_primary_somatic_X3,,952,46852425.777,24.856396866840733,25.506091924752702,EDUC3,,2.0,
discovery_primary_somatic_X3,,1829,105413393.479,47.75456919060052,57.38622194233077,EDUC3,,3.0,
discovery_primary_somatic_X3,,1929,93741960.0655,50.36553524804177,51.03238543116982,SMOKING3,,,0.0
discovery_primary_somatic_X3,,1025,46713248.9565,26.762402088772845,25.430325158814828,SMOKING3,,,1.0
discovery_primary_somatic_X3,,876,43235910.3985,22.87206266318538,23.537289410015354,SMOKING3,,,2.0
replication_primary_somatic_X3,1.0,4931,93948222.48839174,49.71267264845247,49.51313180119978,RIAGENDR,,,
replication_primary_somatic_X3,2.0,4988,95795829.38375267,50.28732735154753,50.486868198800224,RIAGENDR,,,
replication_primary_somatic_X3,,1422,15463068.115131877,14.336122593003328,8.149434969140104,RACE,1.0,,
replication_primary_somatic_X3,,1002,10532553.989582,10.101824780723863,5.550927096612847,RACE,2.0,,
replication_primary_somatic_X3,,4287,129589415.4092718,43.220082669623956,68.29695799718311,RACE,3.0,,
replication_primary_somatic_X3,,1931,19707497.15624067,19.467688275027726,10.38635833998117,RACE,4.0,,
replication_primary_somatic_X3,,1277,14451517.201918049,12.874281681621131,7.61632159708276,RACE,5.0,,
replication_primary_somatic_X3,,2176,27266674.45262898,21.937695332190746,14.370239374355796,EDUC3,,1.0,
replication_primary_somatic_X3,,2233,42753471.65181947,22.512350035285817,22.532180181662888,EDUC3,,2.0,
replication_primary_somatic_X3,,5510,119723905.76769596,55.54995463252344,63.09758044398132,EDUC3,,3.0,
replication_primary_somatic_X3,,5467,104921194.09636521,55.11644318983768,55.296170320566596,SMOKING3,,,0.0
replication_primary_somatic_X3,,2478,49272410.924271286,24.982357092448837,25.967828998124595,SMOKING3,,,1.0
replication_primary_somatic_X3,,1974,35550446.85150791,19.901199717713478,18.736000681308806,SMOKING3,,,2.0
modern_primary_somatic_X3,1.0,1031,88037674.23927791,45.599292348518354,50.72639535061531,RIAGENDR,,,
modern_primary_somatic_X3,2.0,1230,85516298.26511768,54.400707651481646,49.27360464938467,RIAGENDR,,,
modern_primary_somatic_X3,,152,11807506.847886467,6.722689075630252,6.803363056174021,RACE,1.0,,
modern_primary_somatic_X3,,216,14838571.894053003,9.55329500221141,8.549831317561567,RACE,2.0,,
modern_primary_somatic_X3,,1451,111800931.5567959,64.1751437417072,64.41853790120784,RACE,3.0,,
modern_primary_somatic_X3,,215,16322999.490800215,9.50906678460858,9.40514311211563,RACE,4.0,,
modern_primary_somatic_X3,,227,18783962.714859996,10.039805395842547,10.823124612940944,RACE,5.0,,
modern_primary_somatic_X3,,220,13802991.796781924,9.730207872622733,7.953140799720005,EDUC3,,1.0,
modern_primary_somatic_X3,,432,41713321.76063309,19.10659000442282,24.034783623046497,EDUC3,,2.0,
modern_primary_somatic_X3,,1609,118037658.94698057,71.16320212295444,68.0120755772335,EDUC3,,3.0,
modern_primary_somatic_X3,,1357,110310751.16871783,60.01769128704113,63.55991140791893,SMOKING3,,,0.0
modern_primary_somatic_X3,,618,40747924.11688645,27.333038478549316,23.478531507456236,SMOKING3,,,1.0
modern_primary_somatic_X3,,286,22495297.21879129,12.649270234409553,12.961557084624813,SMOKING3,,,2.0
