cohort,PHQ_severity,n,weighted_n,pct,weighted_pct
discovery_full_PHQ9_X3,0-4 Minimal,2971,146133478.937,77.87680209698559,79.7193170959923
discovery_full_PHQ9_X3,10-14 Moderate,196,8130771.452,5.137614678899083,4.435530806027468
discovery_full_PHQ9_X3,15-19 Moderately severe,65,2516185.364,1.7038007863695936,1.3726394551346244
discovery_full_PHQ9_X3,20-27 Severe,26,828792.6625,0.6815203145478375,0.45212627215392015
discovery_full_PHQ9_X3,5-9 Mild,557,25700770.039499998,14.600262123197902,14.020386370691709
replication_full_PHQ9_X3,0-4 Minimal,7446,145971641.77023235,75.26533912867684,77.02240095439751
replication_full_PHQ9_X3,10-14 Moderate,559,9509686.525029495,5.650459921156373,5.017816334726061
replication_full_PHQ9_X3,15-19 Moderately severe,223,3554127.3506588195,2.254119074092793,1.8753465983230369
replication_full_PHQ9_X3,20-27 Severe,96,1472347.8157941033,0.9703830991610229,0.7768890069136086
replication_full_PHQ9_X3,5-9 Mild,1569,29010622.296860892,15.85969877691297,15.307547105639758
modern_full_PHQ9_X3,0-4 Minimal,1553,119461821.27277485,69.11437472185136,69.23975422918612
modern_full_PHQ9_X3,10-14 Moderate,185,15191564.932813523,8.233199821984869,8.804990674827824
modern_full_PHQ9_X3,15-19 Moderately severe,62,3357264.9657380125,2.7592345349354694,1.9458618547190467
modern_full_PHQ9_X3,20-27 Severe,32,2186765.5162490862,1.4241210502892745,1.267443483522818
modern_full_PHQ9_X3,5-9 Mild,415,32336155.394947894,18.46906987093903,18.741949757744198
