variable,label,role,n_nonmissing_discovery,corr_somatic_PHQ,corr_total_PHQ9,corr_A_OI_PC1_FZ,corr_A_OI_PC2_FZ,corr_A_OI_PC3_FZ,corr_G3_OI_PC1_FZ,corr_G3_OI_PC2_FZ,corr_G3_OI_PC3_FZ,component_vector_norm,max_abs_component_corr
RIDAGEYR,age,baseline/demographic,3830,0.0033466952879241526,-0.01166609430182979,-0.1647937179362753,0.12780210557877456,0.2971363645220471,0.25336498160285903,-0.05735913256971535,-0.12049579046219276,0.4623672634323106,0.2971363645220471
FEMALE,female sex,baseline/demographic,3830,0.136591104743372,0.1367563306904156,-0.5597134221928253,0.17929797571103198,-0.21263762386202703,-0.053979219700870454,-0.06646321406707402,-0.11173527955025006,0.6406695917853287,0.5597134221928253
INDFMPIR,poverty-income ratio,socioeconomic,3830,-0.14961642401845862,-0.18272345815577737,0.09121869497453641,0.0678541376720506,-0.07183760220920621,-0.0910724271802171,-0.03523260933924067,0.041053114479167756,0.17119158088244413,0.09121869497453641
EDUC3,education category,socioeconomic,3830,-0.09156054868767607,-0.1168810684231885,0.022567732253647093,0.024254243602857658,-0.08074196254248366,-0.14533023796934438,-0.012371987981843606,0.04457924251576941,0.17572162190567167,0.14533023796934438
CURRENT_SMOKER,current smoking,behavioral,3830,0.12735490112631864,0.14862823155498592,0.14672152538821534,0.05567389963792329,0.19900377441652892,-0.058115928988992135,-0.11182365809312907,0.006156074293525966,0.28310630566529776,0.19900377441652892
FORMER_SMOKER,former smoking,behavioral,3830,-0.0034385993901853086,-0.026403239992227018,0.00624724182764159,0.04216724182603639,0.032532390167892535,0.06665735786482552,0.05605929603304679,0.005906948654256787,0.10245096776189416,0.06665735786482552
BMXBMI,BMI,possible confounder-or-mediator,3830,0.10171892635590825,0.102182193596323,-0.04632622307579211,-0.26113350178579603,0.019890934477552934,0.34098999914554795,0.4857638731285718,-0.10716817931353911,0.659134441965599,0.4857638731285718
EGFR_2021,eGFR,possible confounder-or-mediator,3830,-0.016703132447439307,0.010713733886930732,0.11686619619873016,-0.09811710353797701,-0.24994560288575543,-0.15450707039298867,0.03746994466295091,0.12459913946467771,0.35575111430939005,0.24994560288575543
PARTNERED,married/living with partner,social,3830,-0.0872253576668369,-0.10842360940620054,0.060274835196496124,0.016123363163380946,-0.05742164179551547,0.01142218900414086,0.013394061295634344,0.008411571363648314,0.08701083470809139,0.060274835196496124
LBXWBCSI,white blood cell count,inflammation,3830,0.14094308840690173,0.12831334733107577,0.1088914398585995,-0.10377057035417828,0.11069339460078088,0.1386554627477807,0.13553650419667448,-0.05511806641672767,0.27479480912042314,0.1386554627477807
LBXPLTSI,platelet count,hematologic/inflammation,3830,0.09978693130920122,0.10740496390059007,-0.1871050794571164,-0.11399897137829774,-0.06371171675397352,0.025628088741005983,0.01730484297822619,-0.12301302612968992,0.2610588443364906,0.1871050794571164
LBXSAL,albumin,nutrition/systemic illness,3830,-0.18849256050331004,-0.1813889222840932,0.3964390016243479,0.021297321409695567,-0.02351965205881253,-0.1683489132745584,-0.10087254900823582,0.18715811338147448,0.4813682780260471,0.3964390016243479
LOG_ALT,log ALT,liver/metabolic,3815,-0.04912291713773767,-0.055037058032997105,0.34374866930632114,-0.08293498471881001,0.0821815991131791,0.15038774794221793,0.2580371534978238,0.06766335042500377,0.4749454188431587,0.34374866930632114
LOG_AST,log AST,liver/systemic,3815,-0.05103508005956845,-0.05886313223606619,0.19112478199952496,0.028828045146823203,0.15382466807731732,0.05085375108058732,0.10643113269769544,0.047217594351149694,0.2777858135561292,0.19112478199952496
LBXSBU,blood urea nitrogen,renal/systemic,3830,-0.029524798051224346,-0.048820600860564674,-0.04441638965415441,0.05907012389988995,0.12108907387198715,0.18076344192251584,-0.023263263586261313,-0.05844409582261379,0.2382372194337297,0.18076344192251584
LBXSCH,total cholesterol,metabolic,3829,-0.039944079231098654,-0.03380278404673596,0.10515249268480702,0.022975162356027253,0.05248896543076696,0.03981861774183475,-0.02273438066400262,-0.04701235753179287,0.13657427444013645,0.10515249268480702
LBXSUA,uric acid,metabolic/inflammatory,3830,-0.03273042227203395,-0.06320902904609323,0.2659482918192007,-0.1397721341798032,0.14609073137924264,0.14059247655574883,0.26807424937769314,-0.0043591881329202,0.4508395450427128,0.26807424937769314
DIABETES_SELFREPORT,diabetes,clinical/metabolic,3756,0.09186218478131057,0.0915390389103625,-0.1348528676328293,-0.05878833131238446,-0.0006274486875482508,0.5801583146323775,-0.1361031031416637,-0.10140620478072873,0.6221195227518983,0.5801583146323775
INSULIN_USE,insulin use,treatment/disease severity,3830,0.06713963197985073,0.05921903708535634,-0.07058868674273873,-0.030455781695234777,0.02290188375956811,0.42376112395941096,-0.16033695023324163,-0.1528434599827855,0.4848477747328729,0.42376112395941096
