domain,null_vector,variable,loading_standardized_X,abs_loading,Jf_times_null_norm
A,1,LBXHGB,0.6539785593583693,0.6539785593583693,2.4554764165325006e-16
A,1,LBXRBCSI,-0.6435553316721334,0.6435553316721334,2.4554764165325006e-16
A,1,LBXMCVSI,-0.39369740060821246,0.39369740060821246,2.4554764165325006e-16
A,1,LBXRDW,0.05613319633032786,0.05613319633032786,2.4554764165325006e-16
