cohort,valid_n,positive_n,positive_pct,weighted_positive_pct,score_2_or_3_n,score_2_or_3_pct
discovery_full_PHQ9_X3,3815,139,3.6435124508519006,2.8844155687437785,37,0.9698558322411532
replication_full_PHQ9_X3,9893,354,3.578287678156272,3.350012552522137,108,1.0916809865561508
modern_full_PHQ9_X3,2247,103,4.583889630618603,4.146333628316604,31,1.3796172674677347
