"target","component","beta","se","p","block_F","block_p","base_weighted_R2","full_weighted_R2","delta_weighted_R2","n","design_df"
"HbA1c","A_OI_PC1_FZ",-0.070910242428396,0.0115690485990289,3.60585844471984e-05,114.123036640407,1.3707860597488e-09,0.690214174194447,0.703899761591098,0.0136855873966508,3830,31
"HbA1c","A_OI_PC2_FZ",-0.0868081342946406,0.0076421023503696,4.02465073788286e-08,114.123036640407,1.3707860597488e-09,0.690214174194447,0.703899761591098,0.0136855873966508,3830,31
"HbA1c","A_OI_PC3_FZ",-0.0299408251545951,0.0101778875035509,0.0114518939331168,114.123036640407,1.3707860597488e-09,0.690214174194447,0.703899761591098,0.0136855873966508,3830,31
"FastingGlucose","A_OI_PC1_FZ",2.28166268392335,0.420622134845278,0.000116170459911071,20.0039196646965,3.75754250152554e-05,0.679110054304692,0.686208600237677,0.00709854593298487,3830,31
"FastingGlucose","A_OI_PC2_FZ",1.71567581566587,0.395475767128065,0.000804260918844255,20.0039196646965,3.75754250152554e-05,0.679110054304692,0.686208600237677,0.00709854593298487,3830,31
"FastingGlucose","A_OI_PC3_FZ",-0.0578877043657398,0.405355272140078,0.888632035433636,20.0039196646965,3.75754250152554e-05,0.679110054304692,0.686208600237677,0.00709854593298487,3830,31
"LogInsulin","A_OI_PC1_FZ",0.0672256256273179,0.0149132400126944,0.000588847031002211,25.0626771238965,1.11820057496477e-05,0.37914972298503,0.397759377514303,0.0186096545292729,3830,31
"LogInsulin","A_OI_PC2_FZ",-0.091294904194421,0.0132947901620285,1.14067782826231e-05,25.0626771238965,1.11820057496477e-05,0.37914972298503,0.397759377514303,0.0186096545292729,3830,31
"LogInsulin","A_OI_PC3_FZ",-0.0309948057040369,0.0114882556186724,0.0182650190214515,25.0626771238965,1.11820057496477e-05,0.37914972298503,0.397759377514303,0.0186096545292729,3830,31
