outcome_label,comparison,variable,epsilon,R2_equivalent,RMSE_raw_units,n_test
SOMATIC,Y0_vs_Y1,DOMAIN_SOMATIC_SCORE_X3,0.9751998994690677,0.04898515607552023,0.4198560484510618,1832
SOMATIC,Y0_vs_Y2,DOMAIN_SOMATIC_SCORE_X3,0.9984955783448551,0.0030065800257731423,0.42988561437297995,1832
SOMATIC,X0_vs_X1,LBXHGB,0.9914524019712183,0.017022134625501728,1.481392838337716,1832
SOMATIC,X0_vs_X2,LBXHGB,0.99971088368611,0.0005781490395369016,1.4937323673394711,1832
SOMATIC,X0_vs_X1,LBXRBCSI,0.9996664486472788,0.0006669914489373374,0.4983295108822434,1832
SOMATIC,X0_vs_X2,LBXRBCSI,0.9999877618832131,2.4476083802182913e-05,0.49848968417596534,1832
SOMATIC,X0_vs_X1,LBXMCVSI,0.9851062370875698,0.029565701651168563,5.334728960771254,1832
SOMATIC,X0_vs_X2,LBXMCVSI,0.9994088650119749,0.0011819205354760554,5.412183189087825,1832
SOMATIC,X0_vs_X1,LBXRDW,0.9997898243139005,0.00042030719837993225,1.0069725757692993,1832
SOMATIC,X0_vs_X2,LBXRDW,1.000150077607009,-0.0003001777373059511,1.00733541721624,1832
SOMATIC,X0_vs_X1,LBXGH,0.9946704984740551,0.010630599465374813,0.8857938968877703,1832
SOMATIC,X0_vs_X2,LBXGH,1.0000648639872756,-0.0001297321818880537,0.8905977953209931,1832
SOMATIC,X0_vs_X1,LBXGLU,0.9986883722899323,0.0026215350528854264,31.034865517802523,1832
SOMATIC,X0_vs_X2,LBXGLU,1.0003003946790825,-0.000600879595128001,31.084960121331594,1832
SOMATIC,X0_vs_X1,LOG_IN,0.9978153742100916,0.004364478989974829,0.7168494725506503,1832
SOMATIC,X0_vs_X2,LOG_IN,1.0006086527958302,-0.0012176760498860961,0.7188562168168016,1832
PHQ9_TOTAL,Y0_vs_Y1,DOMAIN_PHQ9_TOTAL_X3,0.9761445760526019,0.047141766643086225,0.42095016814614933,1832
PHQ9_TOTAL,Y0_vs_Y2,DOMAIN_PHQ9_TOTAL_X3,0.9985896903789147,0.0028186302689434672,0.4306293436305109,1832
