cohort,PHQ9_score,n,weighted_n,pct,weighted_pct
discovery_full_PHQ9_X3,0.0,1296,60636070.303,33.97116644823067,33.07843042608791
discovery_full_PHQ9_X3,1.0,590,29838108.587,15.46526867627785,16.277403763289453
discovery_full_PHQ9_X3,2.0,527,27575967.3225,13.813892529488859,15.043351456505254
discovery_full_PHQ9_X3,3.0,343,16885765.427,8.990825688073395,9.21158996744262
discovery_full_PHQ9_X3,4.0,215,11197567.2975,5.6356487549148095,6.108541482667048
discovery_full_PHQ9_X3,5.0,163,8035279.4290000005,4.272608125819135,4.383437617546295
discovery_full_PHQ9_X3,6.0,146,6962119.9185,3.8269986893840104,3.7980033697993307
discovery_full_PHQ9_X3,7.0,100,4861510.247,2.6212319790301444,2.6520704205850683
discovery_full_PHQ9_X3,8.0,87,3420072.377,2.2804718217562256,1.8657314962770999
discovery_full_PHQ9_X3,9.0,61,2421788.068,1.598951507208388,1.3211434664839163
discovery_full_PHQ9_X3,10.0,51,2149397.5135,1.3368283093053734,1.172547886976087
discovery_full_PHQ9_X3,11.0,46,1818927.823,1.2057667103538663,0.9922687460207039
discovery_full_PHQ9_X3,12.0,36,1398971.7915,0.9436435124508519,0.763172660133663
discovery_full_PHQ9_X3,13.0,32,1129047.9415,0.8387942332896461,0.6159227270830867
discovery_full_PHQ9_X3,14.0,31,1634426.3825,0.8125819134993447,0.8916187858139274
discovery_full_PHQ9_X3,15.0,16,780684.6355,0.41939711664482304,0.42588218977681513
discovery_full_PHQ9_X3,16.0,11,377142.1905,0.28833551769331583,0.20574010892951
discovery_full_PHQ9_X3,17.0,18,771211.2445,0.47182175622542594,0.42071422781083134
discovery_full_PHQ9_X3,18.0,12,271137.0325,0.3145478374836173,0.14791175319689956
discovery_full_PHQ9_X3,19.0,8,316010.261,0.20969855832241152,0.17239117542056828
discovery_full_PHQ9_X3,20.0,2,115475.4225,0.05242463958060288,0.06299461211786961
discovery_full_PHQ9_X3,21.0,8,195108.5555,0.20969855832241152,0.10643639580188877
discovery_full_PHQ9_X3,22.0,6,235635.38199999998,0.15727391874180865,0.12854475150620065
discovery_full_PHQ9_X3,23.0,1,36033.9515,0.02621231979030144,0.019657384650977362
discovery_full_PHQ9_X3,24.0,2,27636.3215,0.05242463958060288,0.01507627610764741
discovery_full_PHQ9_X3,25.0,4,75707.7835,0.10484927916120576,0.04130041140040989
discovery_full_PHQ9_X3,26.0,1,72848.632,0.02621231979030144,0.03974067569363016
discovery_full_PHQ9_X3,27.0,2,70346.614,0.05242463958060288,0.03837576487529626
replication_full_PHQ9_X3,0.0,3226,61495719.40684475,32.60891539472354,32.448411894885155
replication_full_PHQ9_X3,1.0,1495,30911840.31021782,15.111695137976348,16.310730836059125
replication_full_PHQ9_X3,2.0,1176,24344065.876545098,11.887192964722532,12.8452237713058
replication_full_PHQ9_X3,3.0,875,16505732.724574596,8.844637622561407,8.709302358600725
replication_full_PHQ9_X3,4.0,674,12714283.452050073,6.812898008693015,6.708732093546717
replication_full_PHQ9_X3,5.0,474,9191793.249121385,4.791266552107551,4.8500789368262565
replication_full_PHQ9_X3,6.0,381,7075363.385830937,3.8512079247953097,3.7333379894386223
replication_full_PHQ9_X3,7.0,279,4866399.365455832,2.820175881936723,2.567771099816467
replication_full_PHQ9_X3,8.0,246,4461303.407232697,2.4866066916001213,2.3540209292978598
replication_full_PHQ9_X3,9.0,189,3415762.8892200426,1.9104417264732638,1.8023381502605589
replication_full_PHQ9_X3,10.0,162,3020871.8635519776,1.6375214798342261,1.5939726448552372
replication_full_PHQ9_X3,11.0,121,1911147.4321232901,1.223087031234206,1.008423019805931
replication_full_PHQ9_X3,12.0,106,1830727.650997637,1.0714646719902963,0.9659892665686083
replication_full_PHQ9_X3,13.0,84,1222523.0995108099,0.8490852117658951,0.6450682009506357
replication_full_PHQ9_X3,14.0,86,1524416.4788457796,0.8693015263317497,0.8043632025456502
replication_full_PHQ9_X3,15.0,58,820501.3592817794,0.5862731224097847,0.43294015133230496
replication_full_PHQ9_X3,16.0,51,830988.8144019573,0.5155160214292934,0.43847389037546153
replication_full_PHQ9_X3,17.0,43,681750.1383493615,0.43465076316587486,0.3597276283931524
