"block","component","base_beta","extended_beta","attenuation_percent","base_p","extended_p","block_p","n","design_df"
"CRP","A_OI_PC1_FZ",-0.239408437871089,-0.231863661539778,3.15142456899297,0.000709560175869951,0.00122814516444042,0.00269157777737093,3829,31
"CRP","A_OI_PC2_FZ",0.0151438342911279,0.0194416525158368,-28.3799871425348,0.767676498418102,0.699876817409381,0.00269157777737093,3829,31
"CRP","A_OI_PC3_FZ",0.117641273043796,0.11570080827988,1.64947616912787,0.0450709765805417,0.0491453888469739,0.00269157777737093,3829,31
"CRP","G3_OI_PC1_FZ",0.152679905972864,0.13725188828061,10.1048121518994,0.0111089502906778,0.0201473753124275,0.00269157777737093,3829,31
"CRP","G3_OI_PC2_FZ",0.0907233217089028,0.0746255729724502,17.7437823408895,0.159497953067033,0.233001913512,0.00269157777737093,3829,31
"CRP","G3_OI_PC3_FZ",-0.0102597462481741,-0.00160222352542726,84.383400069837,0.794997378349721,0.966876282885636,0.00269157777737093,3829,31
"cotinine","A_OI_PC1_FZ",-0.239256507202444,-0.243182319957398,-1.64083844609153,0.000720462510216977,0.000847116599832993,0.00401995684400172,3828,31
"cotinine","A_OI_PC2_FZ",0.0153839719640454,0.0171732083638282,-11.6305230142416,0.764435945870711,0.734915225098406,0.00401995684400172,3828,31
"cotinine","A_OI_PC3_FZ",0.116691582675367,0.103381294892108,11.4063820869477,0.0464722613015152,0.0766478644062805,0.00401995684400172,3828,31
"cotinine","G3_OI_PC1_FZ",0.152712983684339,0.154396851584149,-1.10263571517291,0.0110866257723669,0.0116551405257908,0.00401995684400172,3828,31
"cotinine","G3_OI_PC2_FZ",0.0908407167829382,0.0935517926747761,-2.98442811533072,0.158784636297193,0.150381056979289,0.00401995684400172,3828,31
"cotinine","G3_OI_PC3_FZ",-0.0103688129252362,-0.00732150047436268,29.3892123702682,0.792825229968681,0.851332566200051,0.00401995684400172,3828,31
"CRP_plus_cotinine","A_OI_PC1_FZ",-0.239136287549116,-0.23548474461157,1.52697149185118,0.000723696785407595,0.00147583562509032,0.000239799339989109,3827,31
"CRP_plus_cotinine","A_OI_PC2_FZ",0.0152632385067235,0.0214303294408684,-40.4048651367682,0.766151341195737,0.667432898769112,0.000239799339989109,3827,31
"CRP_plus_cotinine","A_OI_PC3_FZ",0.116871377270237,0.101307698886248,13.3169290441423,0.0461876059382217,0.0827982448447208,0.000239799339989109,3827,31
"CRP_plus_cotinine","G3_OI_PC1_FZ",0.152885500747155,0.138962288580294,9.10695396150552,0.0110523367736659,0.0212036843874653,0.000239799339989109,3827,31
"CRP_plus_cotinine","G3_OI_PC2_FZ",0.0909327908564628,0.0773741078219389,14.9106641364679,0.15838444329261,0.219953723770043,0.000239799339989109,3827,31
"CRP_plus_cotinine","G3_OI_PC3_FZ",-0.0104348341206519,0.00144879612564633,86.1157723362466,0.791543692947343,0.969740898187028,0.000239799339989109,3827,31
