domain,map,output,input,derivative_standardized,derivative_raw_units,abs_derivative_standardized,relative_to_largest_for_output,is_numerically_zero,is_near_zero_relative
A,f_X_to_Y,A_ICA1,LBXHGB,0.5258932941780862,0.3452138713741786,0.5258932941780862,0.9826593706290684,False,False
A,f_X_to_Y,A_ICA1,LBXRBCSI,0.5351735401876089,1.0893366979708308,0.5351735401876089,1.0,False,False
A,f_X_to_Y,A_ICA1,LBXMCVSI,0.024237645250772488,0.004427432710314999,0.024237645250772488,0.045289319128662096,False,False
A,f_X_to_Y,A_ICA1,LBXRDW,0.17873815928502446,0.1583918198737627,0.17873815928502446,0.3339816823200312,False,False
A,f_X_to_Y,A_ICA2,LBXHGB,0.27734143939112116,0.18205615672344808,0.27734143939112116,0.33499345850343953,False,False
A,f_X_to_Y,A_ICA2,LBXRBCSI,-0.21136723330474522,-0.43023443181945353,0.21136723330474522,0.2553049434462797,False,False
A,f_X_to_Y,A_ICA2,LBXMCVSI,0.8279010600091272,0.15123070727640286,0.8279010600091272,1.0,False,False
A,f_X_to_Y,A_ICA2,LBXRDW,0.15214936841792587,0.13482971656840834,0.15214936841792587,0.1837772359130069,False,False
A,f_X_to_Y,A_ICA3,LBXHGB,0.09416888908641907,0.061815594768774254,0.09416888908641907,0.09677145924825672,False,False
A,f_X_to_Y,A_ICA3,LBXRBCSI,0.016612266879714344,0.03381398852830881,0.016612266879714344,0.017071384434578476,False,False
A,f_X_to_Y,A_ICA3,LBXMCVSI,0.2680156697338043,0.048957781615299754,0.2680156697338043,0.27542288873915977,False,False
A,f_X_to_Y,A_ICA3,LBXRDW,0.9731060151200052,0.8623342283567802,0.9731060151200052,1.0,False,False
A,g_Y_to_X,LBXHGB,A_ICA1,0.9384365729913963,1.4295992764807355,0.9384365729913963,1.0,False,False
A,g_Y_to_X,LBXHGB,A_ICA2,0.37398259612562745,0.5697191096605799,0.37398259612562745,0.3985166466109758,False,False
A,g_Y_to_X,LBXHGB,A_ICA3,-0.2667162844818295,-0.4063113249150289,0.2667162844818295,0.2842134377090979,False,False
A,g_Y_to_X,LBXRBCSI,A_ICA1,0.9801250143087457,0.48151960244351166,0.9801250143087457,1.0,False,False
A,g_Y_to_X,LBXRBCSI,A_ICA2,-0.30749639275193513,-0.15106801543592085,0.30749639275193513,0.31373180794574823,False,False
A,g_Y_to_X,LBXRBCSI,A_ICA3,-0.09664840365331628,-0.04748180101980858,0.09664840365331628,0.09860824103288462,False,False
A,g_Y_to_X,LBXMCVSI,A_ICA1,-0.046740699816309406,-0.25587842324089277,0.046740699816309406,0.04394537031644948,False,False
A,g_Y_to_X,LBXMCVSI,A_ICA2,1.063609192043003,5.822648014985852,1.063609192043003,1.0,False,False
A,g_Y_to_X,LBXMCVSI,A_ICA3,-0.13611942807941546,-0.7451755058502475,0.13611942807941546,0.12797880001201792,False,False
A,g_Y_to_X,LBXRDW,A_ICA1,-0.09467250892842483,-0.10683373670589871,0.09467250892842483,0.08664977019972665,False,False
A,g_Y_to_X,LBXRDW,A_ICA2,-0.323883768589622,-0.3654884997605567,0.323883768589622,0.29643720692909636,False,False
A,g_Y_to_X,LBXRDW,A_ICA3,1.092588113161822,1.2329373345093502,1.092588113161822,1.0,False,False
G,f_X_to_Y,G_ICA1,LBXGH,-0.022751476211318105,-0.025086169864852834,0.022751476211318105,0.02357288122937305,False,False
G,f_X_to_Y,G_ICA1,LBXGLU,0.02651934985095343,0.0008812847364591169,0.02651934985095343,0.027476787814134537,False,False
G,f_X_to_Y,G_ICA1,LOG_IN,-0.9651546618310098,-1.314596569151616,0.9651546618310098,1.0,False,False
G,f_X_to_Y,G_ICA2,LBXGH,1.4216534085534398,1.5675395550015798,1.4216534085534398,1.0,False,False
G,f_X_to_Y,G_ICA2,LBXGLU,-1.1714885685000849,-0.03893062990450152,1.1714885685000849,0.8240324691319085,False,False
G,f_X_to_Y,G_ICA2,LOG_IN,0.042851466658868215,0.05836618034460297,0.042851466658868215,0.030141992697411687,False,False
G,f_X_to_Y,G_ICA3,LBXGH,-0.09875033436652185,-0.10888382094948296,0.09875033436652185,0.13526618916698127,False,False
G,f_X_to_Y,G_ICA3,LBXGLU,-0.7300444772981525,-0.024260664699364987,0.7300444772981525,1.0,False,False
G,f_X_to_Y,G_ICA3,LOG_IN,0.15134696667034112,0.20614333744074126,0.15134696667034112,0.20731198081309576,False,False
G,g_Y_to_X,LBXGH,G_ICA1,-0.13144533895194566,-0.11921212039801281,0.13144533895194566,0.12927288505123663,False,False
G,g_Y_to_X,LBXGH,G_ICA2,0.6306738110335314,0.5719789145227051,0.6306738110335314,0.6202503925100665,False,False
G,g_Y_to_X,LBXGH,G_ICA3,-1.0168051784397631,-0.9221742080774612,1.0168051784397631,1.0,False,False
G,g_Y_to_X,LBXGLU,G_ICA1,-0.19749917488969215,-5.943084564494049,0.19749917488969215,0.1600087888864085,False,False
G,g_Y_to_X,LBXGLU,G_ICA2,-0.08889729127627971,-2.675070009302422,0.08889729127627971,0.07202231563926496,False,False
G,g_Y_to_X,LBXGLU,G_ICA3,-1.2343020421828104,-37.14223828488004,1.2343020421828104,1.0,False,False
G,g_Y_to_X,LOG_IN,G_ICA1,-1.0384314699475663,-0.7623988969168913,1.0384314699475663,1.0,False,False
G,g_Y_to_X,LOG_IN,G_ICA2,-0.0173094108516193,-0.012708277937900095,0.0173094108516193,0.016668804203799126,False,False
G,g_Y_to_X,LOG_IN,G_ICA3,-0.009945627606837482,-0.007301912293723093,0.009945627606837482,0.009577548345428772,False,False
