period,subgroup,component,component_label,biomarker,biomarker_label,n_complete,weighted_correlation
2009-2018,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXHGB,Haemoglobin,9002,0.29257028379999117
2009-2018,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXRBCSI,RBC count,9002,0.08206481908810509
2009-2018,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXMCVSI,MCV,9002,0.4322169509389769
2009-2018,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXRDW,RDW,9002,0.6709277442830606
2021-2023,All analytic participants,A_OI_PC1_FZ,Haematology PC1,LBXHGB,Haemoglobin,2261,0.9530215399948899
2021-2023,All analytic participants,A_OI_PC1_FZ,Haematology PC1,LBXRBCSI,RBC count,2261,0.6633401680382788
2021-2023,All analytic participants,A_OI_PC1_FZ,Haematology PC1,LBXMCVSI,MCV,2261,0.3040043108629654
2021-2023,All analytic participants,A_OI_PC1_FZ,Haematology PC1,LBXRDW,RDW,2261,-0.6417546416888528
2021-2023,All analytic participants,A_OI_PC2_FZ,Haematology PC2,LBXHGB,Haemoglobin,2261,-0.018137501233329374
2021-2023,All analytic participants,A_OI_PC2_FZ,Haematology PC2,LBXRBCSI,RBC count,2261,-0.6672032787590916
2021-2023,All analytic participants,A_OI_PC2_FZ,Haematology PC2,LBXMCVSI,MCV,2261,0.881034238705721
2021-2023,All analytic participants,A_OI_PC2_FZ,Haematology PC2,LBXRDW,RDW,2261,-0.6111576636571391
2021-2023,All analytic participants,A_OI_PC3_FZ,Haematology PC3,LBXHGB,Haemoglobin,2261,0.09776429694891557
2021-2023,All analytic participants,A_OI_PC3_FZ,Haematology PC3,LBXRBCSI,RBC count,2261,-0.03438182453931934
2021-2023,All analytic participants,A_OI_PC3_FZ,Haematology PC3,LBXMCVSI,MCV,2261,0.27583360882825536
2021-2023,All analytic participants,A_OI_PC3_FZ,Haematology PC3,LBXRDW,RDW,2261,0.6930058690764517
2021-2023,Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,LBXHGB,Haemoglobin,2070,0.9496092966557479
2021-2023,Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,LBXRBCSI,RBC count,2070,0.7015084974948327
2021-2023,Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,LBXMCVSI,MCV,2070,0.10806352964958303
2021-2023,Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,LBXRDW,RDW,2070,-0.45211698433565034
2021-2023,Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,LBXHGB,Haemoglobin,2070,-0.2268245710016306
2021-2023,Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,LBXRBCSI,RBC count,2070,-0.7952161047734811
2021-2023,Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,LBXMCVSI,MCV,2070,0.8673342903493533
2021-2023,Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,LBXRDW,RDW,2070,-0.5373316499930456
2021-2023,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXHGB,Haemoglobin,2070,0.2484436787059309
2021-2023,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXRBCSI,RBC count,2070,0.013385037393598682
2021-2023,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXMCVSI,MCV,2070,0.4093733754365248
2021-2023,Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,LBXRDW,RDW,2070,0.6848694220433162
