"group","unweighted_n","weighted_mean_PHQ9","phq_ci_low","phq_ci_high","weighted_mean_somatic","somatic_ci_low","somatic_ci_high","weighted_PHQ9_ge10_pct","phq10_ci_low_pct","phq10_ci_high_pct"
"Neither",5442,2.73779452733193,2.56598982237087,2.90959923229298,1.56058606201432,1.48594424399378,1.63522788003485,6.31461100136901,5.26147484919804,7.36774715353999
"G only",1912,2.98895056146932,2.74107611014147,3.23682501279716,1.7718154663647,1.63643479168569,1.9071961410437,7.61958758840492,6.14048238024185,9.098692796568
"A only",344,3.48859120611166,2.84533336437343,4.13184904784989,2.0297642138977,1.67079742180358,2.38873100599182,8.86390253236774,5.03630809512042,12.6914969696151
"Both",259,3.75731945294385,3.05241474908914,4.46222415679857,2.25311964113349,1.92406084738954,2.58217843487744,7.4223011238533,4.00054885942578,10.8440533882808
