term,population,outcome,model,beta,se,ci_low,ci_high,p
A,Pooled,SOMATIC_SCORE,Additive_A+G+X,0.331548684961218,0.0911037374818895,0.137365665106648,0.525731704815788,0.0024226749242312
G_HBA1C,Pooled,SOMATIC_SCORE,Additive_A+G+X,0.0974144300114641,0.0488741233262415,-0.0067582979418858,0.201587157964814,0.0647584670721541
