,A,G_HBA1C,AG_HBA1C,PHQ9_TOTAL,SOMATIC_SCORE
A,1.0,0.04198086592407134,0.3573229631349243,0.06320223009169067,0.06918500716916264
G_HBA1C,0.04198086592407134,1.0,0.26595128762128944,0.04136565122969066,0.04003065382696066
AG_HBA1C,0.3573229631349243,0.26595128762128944,1.0,0.01021512904635846,0.013347351394298443
PHQ9_TOTAL,0.06320223009169067,0.04136565122969066,0.01021512904635846,1.0,0.8775859045664092
SOMATIC_SCORE,0.06918500716916264,0.04003065382696066,0.013347351394298443,0.8775859045664092,1.0
