component,variance_0506,variance_0708_aligned,cumulative_variance_0506,cross_cycle_loading_similarity,0708_original_component,0708_sign_for_alignment
1,0.4743176152730856,0.4819696292459292,0.4743176152730856,0.9933554264495845,1,1
2,0.3622901558279652,0.3725603664978113,0.8366077711010508,0.9927304472742553,2,1
3,0.1570301760136391,0.13865146782226412,0.9936379471146899,0.999128085135208,3,1
4,0.006362052885310074,0.006818536433995545,1.0,0.9999396315743057,4,1
