"cycle","model","cfi","tli","rmsea","srmr"
"506","one_factor",0.995455824937506,0.993941099916674,0.0350813957128414,0.0396353482604243
"506","two_factor",0.998373082446033,0.997747344925277,0.021390814264709,0.0293951866195617
"708","one_factor",0.995675535269088,0.994234047025451,0.0390862612781561,0.0387854176292329
"708","two_factor",0.998319774555432,0.997673533999829,0.0248277256517569,0.0289788936693686
