variable,group,n,mean,sd
RIDAGEYR,excluded,729,54.80521262002743,18.736399469987848
RIDAGEYR,included,7957,49.935654141007916,17.76802597289317
INDFMPIR,excluded,168,2.1298809523809528,1.4162855137300119
INDFMPIR,included,7957,2.648664069372879,1.6127112868405906
BMXBMI,excluded,639,28.798638497652586,6.842663865072222
BMXBMI,included,7957,28.94303632022119,6.683603506897969
EGFR_2021,excluded,639,89.53120665683656,25.875741164540365
EGFR_2021,included,7957,92.36876054462434,22.383820284221517
