variable,available_fraction
RIDAGEYR,1.0
RIAGENDR,1.0
RIDRETH1,1.0
BMXBMI,0.9816400388383794
EVER_SMOKER,0.9241768911642687
CURRENT_SMOKER,0.4365786918527672
LBXSCR,0.9307970694677377
EGFR_2021,0.9307970694677377
