,IC1,IC2,IC3,IC4
DPQ010,0.7557983568721443,0.08247360534619991,-0.39011255625844127,0.20497505703928737
DPQ020,0.5463856433952792,0.06818598824663294,-0.41389125467093635,0.4913848035571874
DPQ030,0.18468146481145406,-0.6951155485765368,-0.30840060590404406,0.32038167854430843
DPQ040,0.4347240045564971,-0.5083260049995592,-0.4165506487179445,0.1762022900571874
DPQ050,0.38233589880449226,-0.499602779199953,-0.31610524151613895,0.2354500578344452
DPQ060,0.3776059274064145,0.08494963112213932,-0.44306783129334465,0.5294754542696953
DPQ070,0.10567296110179353,0.0024437615418413106,-0.7642879037470596,0.2698061128567034
DPQ080,-0.1323256777859238,-0.014455004807626015,-0.8297331019187734,0.29192791159394277
DPQ090,-0.003700573064315732,0.018807917959310916,-0.0044448627071592695,0.9622325048404327
