"population","model","weighted_R2","n","design_df"
"2005-2008","A_plus_G3",0.0826309807187372,2972,31
"2005-2008","A_plus_G4",0.0827771608737391,2972,31
"2005-2008","A_plus_G3_plus_2hOGTT",0.0828190256138499,2972,31
"2009-2016","A_plus_G3",0.0817443270862738,6248,63
"2009-2016","A_plus_G4",0.0826908584383828,6248,63
"2009-2016","A_plus_G3_plus_2hOGTT",0.0827773585170317,6248,63
