analysis,outcome,delta_scalar_model_beyond_X,delta_all_PCs_beyond_X,delta_all_PCs_beyond_scalar_model,delta_scalars_beyond_all_PCs,delta_Apcs_scalarG_beyond_scalars,delta_Ascalar_Gpcs_beyond_scalars,delta_Apcs_scalarG_beyond_X,delta_Apcs_beyond_scalar_model,delta_scalarA_beyond_Apcs_scalarG
AG3_joint_fasting,COGAFF_SUM,0.002636617481150391,0.007987135808533996,0.005566098675449507,0.00021558034806590243,0.004281398593643002,0.0005861520505515971,,,
AG3_joint_fasting,PHQ9_TOTAL,0.004323795443881395,0.01375226215309279,0.009568789509326395,0.0001403228001150003,0.0074015208417264056,0.0011138369459687963,,,
AG3_joint_fasting,SOMATIC_SCORE,0.004638394263974499,0.015234616098760798,0.010642144888075702,4.592305328940394e-05,0.0082161280182651,0.0012999979037180004,,,
A_final_MEC,COGAFF_SUM,0.001262989324138708,,,,,,0.0032529086039587013,0.0019930254957208904,3.1062159008971024e-06
A_final_MEC,PHQ9_TOTAL,0.0027975352197255055,,,,,,0.006506608308746803,0.0037778374257722014,6.876433675090388e-05
A_final_MEC,SOMATIC_SCORE,0.0038523630699831,,,,,,0.008283278115580897,0.004630560850642396,0.00019964580504459872
