period,n,weight_sum,retained_components,reconstruction_energy_fraction,overall_rmse_z,passes_prespecified_0p98_gate,LBXHGB_rmse_z,LBXHGB_rmse_original_units,LBXRBCSI_rmse_z,LBXRBCSI_rmse_original_units,LBXMCVSI_rmse_z,LBXMCVSI_rmse_original_units,LBXRDW_rmse_z,LBXRDW_rmse_original_units
2009-2018,26110,217655369.00232822,3,0.9932190996404303,0.08824927328209764,True,0.1152174126323537,0.17196275460617932,0.11371053508753205,0.05456274092216748,0.06972022319006818,0.37135253003732854,0.009256859835481237,0.01059778074239565
2021-2023,5731,242243143.33736104,3,0.9955292473069083,0.07897205219758166,True,0.10310516093868316,0.15388513840095247,0.10175669417290453,0.04882682274758893,0.06239087190432489,0.33231402701829577,0.008283730742762015,0.009483687092715949
0910,5688,41337798.1410808,3,0.9936490713683779,0.08197539161688347,True,0.10702629234610629,0.1597374531039815,0.1056265428381353,0.0506837267711822,0.06476362226069235,0.34495206527560224,0.008598764408297032,0.009844355588636817
1112,4985,42686304.568517,3,0.9912271270838956,0.0969491885137954,True,0.126575939290276,0.18891543118291018,0.12492050860255656,0.059941722563347934,0.07659348128194755,0.4079617327224763,0.010169432742715945,0.011642546219480484
1314,5333,43995563.5633988,3,0.9940318781213321,0.08451307355602596,True,0.11033946577221741,0.16468238647668312,0.10889638473540988,0.052252724192222426,0.06676848580916417,0.35563061903001253,0.008864953184068342,0.010149103670799435
1516,5123,44099492.737724,3,0.9920297145483434,0.0975142313244359,True,0.12731365381468246,0.1900164750167508,0.1256485748852095,0.06029107710577427,0.07703988621430156,0.4103394302321197,0.010228702603017613,0.01171040173369081
1718,4981,45536209.991607636,3,0.9948859249317177,0.07876491738599942,True,0.10283472769692378,0.1534815149891127,0.10148979780782083,0.048698755482669984,0.062227227663904025,0.3314424046980307,0.00826200344862632,0.009458812448023475
2123,5731,242243143.33736104,3,0.9955292473069083,0.07897205219758166,True,0.10310516093868316,0.15388513840095247,0.10175669417290453,0.04882682274758893,0.06239087190432489,0.33231402701829577,0.008283730742762015,0.009483687092715949
