"lhs","rhs","group","est","se","z","pvalue","ci.lower","ci.upper","std.all","item","exposure","cycle","q_global","q_exposure"
"DPQ010","A_Z",1,0.00803260192363347,0.0225126555629666,0.356803838674952,0.721238662329535,-0.0360913921761363,0.0521565960234032,0.00771238463888082,"DPQ010","A_Z","506",0.996202542645678,0.897797798718229
"DPQ010","A_Z",2,0.0136745686458418,0.0122206715888628,1.11897030751599,0.26315280652248,-0.0102775075352212,0.0376266448269048,0.013372857757021,"DPQ010","A_Z","708",0.996202542645678,0.676678645343521
"DPQ020","A_Z",1,0.0159543256486283,0.0185314293881075,0.860933353520315,0.389274750490421,-0.0203666085341095,0.0522752598313661,0.0152095764674152,"DPQ020","A_Z","506",0.996202542645678,0.835834798043699
"DPQ020","A_Z",2,0.0175440758287966,0.0152410434640838,1.15110726310439,0.249688110336804,-0.0123278204476173,0.0474159721052105,0.0167804739935037,"DPQ020","A_Z","708",0.996202542645678,0.676678645343521
"DPQ030","A_Z",1,0.00781237285961241,0.0130790456467883,0.597319794623612,0.550293891105168,-0.017822085560248,0.0334468312794728,0.00763253919862493,"DPQ030","A_Z","506",0.996202542645678,0.897797798718229
"DPQ030","A_Z",2,0.00558317507446723,0.0196995558085712,0.283416292667777,0.776857740442383,-0.0330272448217692,0.0441935949707037,0.00530165221655949,"DPQ030","A_Z","708",0.996202542645678,0.897797798718229
"DPQ040","A_Z",1,0.0205542390178034,0.0181417333984438,1.13298098733865,0.257222237637408,-0.0150029050602739,0.0561113830958807,0.0199032443275606,"DPQ040","A_Z","506",0.996202542645678,0.676678645343521
"DPQ040","A_Z",2,-0.00773166004340177,0.020478287165444,-0.377554039599979,0.70576191277795,-0.0478683653527408,0.0324050452659373,-0.00720644530632721,"DPQ040","A_Z","708",0.996202542645678,0.897797798718229
"DPQ050","A_Z",1,-0.0449350190212605,0.0238996363619216,-1.88015492540522,0.060086966657882,-0.0917774455342307,0.00190740749170971,-0.0437503856647642,"DPQ050","A_Z","506",0.648939239905126,0.360521799947292
"DPQ050","A_Z",2,0.00183194569859587,0.0186373359385643,0.0982943970444407,0.921698527149015,-0.0346965615087642,0.038360452905956,0.00175824108230278,"DPQ050","A_Z","708",0.996202542645678,0.921698527149015
"DPQ060","A_Z",1,-0.054855798231524,0.0229591095807671,-2.38928247798759,0.0168813171478681,-0.0998548261269361,-0.00985677033611194,-0.0524938534031489,"DPQ060","A_Z","506",0.455795562992439,0.151931854330813
"DPQ060","A_Z",2,-0.0090440485243512,0.0154209544505401,-0.586477870313303,0.557554428527339,-0.0392685638546424,0.02118046680594,-0.00859162775024294,"DPQ060","A_Z","708",0.996202542645678,0.897797798718229
