component,A_beta,A_p,G_beta,G_p,r2
IC1,6.632352680295897e-17,0.999999999999998,9.76078416768493e-18,0.9999999999999993,-2.220446049250313e-16
IC2,-1.2714388054760675e-16,0.9999999999999962,-2.3714804940752274e-17,0.9999999999999984,2.220446049250313e-16
IC3,6.920428585657085e-17,0.999999999999998,-9.969577789183115e-19,1.0,2.220446049250313e-16
IC4,-2.4139761370389756e-16,0.9999999999999929,3.596840707220661e-17,0.9999999999999976,0.0
IC5,1.800487114001631e-16,0.9999999999999947,-2.122325752640375e-17,0.9999999999999986,0.0
IC6,1.3951394970930855e-16,0.9999999999999959,-1.2864312886424686e-17,0.9999999999999991,0.0
IC7,-1.8533589105692444e-16,0.9999999999999946,-6.515377430280078e-18,0.9999999999999996,2.220446049250313e-16
IC8,-4.086086937554745e-16,0.999999999999988,-7.544691867783504e-17,0.9999999999999949,2.220446049250313e-16
IC9,3.5421562601459233e-16,0.9999999999999896,1.4380501862009884e-17,0.999999999999999,2.220446049250313e-16
