cycle,component,variable,reference_beta,bootstrap_mean,ci_025,ci_975,same_sign_fraction
0506,IC1,A,0.0368497960759827,0.05037971412823846,-0.042380027280249144,0.15659039581752102,0.83
0506,IC1,G,0.023463469370574877,0.027552626363786435,-0.044884966132783394,0.08833663963640473,0.795
0506,IC1,AG,-0.04149678599607225,-0.045135315569078155,-0.11163388455258832,0.041899392018173,0.895
0506,IC2,A,0.05424101618584798,0.04662844747710308,-0.052342183910236144,0.1660654877971718,0.8
0506,IC2,G,0.033788177185491,0.031107310276706716,-0.009252814686265006,0.07360918857449085,0.905
0506,IC2,AG,-0.035004872325805604,-0.02475412041581502,-0.08587838551699939,0.06876791660750173,0.775
0506,IC3,A,0.13136279271198548,0.1287444104699144,0.027962353891639303,0.26201609590050323,0.99
0506,IC3,G,0.076760047579266,0.07017399779858051,0.029556696327759802,0.11399785805405885,1.0
0506,IC3,AG,-0.05128921288739729,-0.050298441233389335,-0.13278442341044994,0.028980181599097113,0.91
0708,IC1,A,-0.01871929426612867,-0.029464483872302674,-0.15283697949248326,0.059281862434710855,0.68
0708,IC1,G,-0.02970001375231294,-0.03136989840299528,-0.0634212791607319,0.001562857802202313,0.955
0708,IC1,AG,0.0038452918188212094,0.009105848289618626,-0.05298748928646752,0.07696708326894149,0.6
0708,IC2,A,-0.15050353577013872,-0.13696348106968195,-0.2823070695768854,0.008290349911788484,0.965
0708,IC2,G,-0.015785007497933358,-0.015840595638953868,-0.04770812353207555,0.015337606002718399,0.855
0708,IC2,AG,0.037611937630930736,0.03682238471276045,-0.0251569513610265,0.10395053073330597,0.86
0708,IC3,A,-0.17395106908365582,-0.16916614939313848,-0.27146692066140876,-0.07358891048083509,1.0
0708,IC3,G,-0.036953654557691604,-0.03506867603792404,-0.06889503651764949,0.00046683697681259336,0.97
0708,IC3,AG,0.026956208472191705,0.030135886239046616,-0.07879669655043223,0.12901945537637766,0.72
