model,n,r2,adj_r2,aic,bic,A_DEFICIT_beta,A_DEFICIT_p,G_EXCESS_beta,G_EXCESS_p,AG_CLINICAL_beta,AG_CLINICAL_p,ANEMIA_beta,ANEMIA_p,DYSGLYCEMIA_beta,DYSGLYCEMIA_p,BOTH_beta,BOTH_p
M0_X,9743,0.019090228862426395,0.018485724073311283,56806.62322989368,56856.91336039566,,,,,,,,,,,,
M1_A_CLINICAL,9743,0.02118142296648773,0.02047759861731102,56787.83002974617,56845.30446460557,0.5660118013775295,0.0005995463231634908,,,,,,,,,,
M2_G_CLINICAL,9743,0.022002150459296765,0.02129891625829161,56779.65721565613,56837.131650515534,,,0.2970198504257578,6.66561787336198e-05,,,,,,,,
M3_A_G,9743,0.023996859425626238,0.02319472000456657,56761.765254180005,56826.423993396835,0.552910051861525,0.0007249628161219206,0.2921157029708638,9.838414385264042e-05,,,,,,,,
M4_INTERACTION,9743,0.02441471427662001,0.023512601097588792,56759.593104129744,56831.436147704,0.6403341691013353,0.00010685464165382341,0.3195346531158193,5.033732028596308e-05,-0.2678642580842481,0.047045307322070865,,,,,,
M5_BINARY,9743,0.023684076186426206,0.022781287394242677,56766.88712824372,56838.73017181797,,,,,,,0.34133694891539074,0.15509483439292587,0.47323476440538587,0.00146447800921231,0.6223470491952391,0.09987017117852848
