components,pca_rmse,pca_variance,ica_rmse
1,0.7446152489988679,0.44554813095835377,0.744615248998868
2,0.6698621965419159,0.5512846376440382,0.6698621965419159
3,0.6085375815492234,0.6296820118422226,0.6085375815492233
4,0.5429811922436152,0.705171424869703,0.542981192243615
5,0.4725232904815553,0.7767217399524841,0.47252329048155534
6,0.3974082087985272,0.8420667155795468,0.39740820879852706
7,0.31594930348626393,0.9001760376265449,0.315949303486264
8,0.20956592391744736,0.9560821235326269,0.20956592391744733
9,1.5052063919840216e-15,1.0,1.1484407198394903e-15
