"model","cfi","tli","rmsea","srmr"
"configural",0.998339767321601,0.997701216291448,0.023380932296228,0.0291616931838881
"equal_loadings",0.998123296761178,0.997709785878047,0.0233373109659047,0.0309484116731031
"equal_loadings_thresholds",0.998300207948665,0.998200220180939,0.0206881881791782,0.0292491625817306
