,IC1,IC2,IC3,IC4
DPQ010,-0.02074830695412376,0.5881902248558369,0.3923132261437909,0.22457792500509005
DPQ020,-0.08184552856540614,0.5599638746490404,0.5047326015815927,0.386315716636202
DPQ030,0.7340404974124745,0.40544780455144824,0.3300451173459192,0.048619838653999464
DPQ040,0.5382672203683514,0.5882921398504166,0.21324663326755242,0.09069521696035407
DPQ050,0.010891305948973501,0.814636287301451,0.030053846939598727,-0.17407165762963855
DPQ060,-0.1175150218803805,0.4847016098322443,0.5445827697445956,0.3751428970600401
DPQ070,-0.12243192510995056,0.5838867273253803,0.38447868434385246,-0.07007355537052062
DPQ080,-0.07233260681080196,0.3616295857988794,0.5899266299098724,-0.6014212165658506
DPQ090,0.008771154337418527,-0.018463027412980837,0.8882063612553436,0.006020712657548506
