outcome,term,python_beta,r_beta,abs_beta_diff,python_se,r_se,se_ratio_r_over_python,python_p,r_p
PHQ9_TOTAL,A,0.6024398497839331,0.602439849783942,8.992806499463768e-15,0.1724925463259882,0.172492546325987,0.9999999999999931,0.0014619133235607,0.0035878988598443
PHQ9_TOTAL,G_HBA1C,0.2027584617527254,0.202758461752717,8.409939411535561e-15,0.0910639418387407,0.0910639418387406,0.9999999999999989,0.0333789501846557,0.0429072982882358
PHQ9_TOTAL,AG_HBA1C,-0.2325077928943266,-0.232507792894327,3.885780586188048e-16,0.137987121437843,0.137987121437839,0.999999999999971,0.1020322468603716,0.114140586168941
SOMATIC_SCORE,A,0.3801696690770003,0.380169669076999,1.27675647831893e-15,0.0980141244080073,0.0980141244080079,1.000000000000006,0.0005111436408967,0.0016702805429128
SOMATIC_SCORE,G_HBA1C,0.111050347825283,0.111050347825281,1.9984014443252818e-15,0.0503934161606907,0.050393416160691,1.000000000000006,0.0351046031620692,0.0447912277021729
SOMATIC_SCORE,AG_HBA1C,-0.14000793776363,-0.14000793776363,0.0,0.055711640621674,0.0557116406216733,0.9999999999999876,0.0173797274158073,0.0248307565356156
