block,cycle,component,bootstrap_mean_loading_similarity,bootstrap_p05_loading_similarity,bootstrap_p95_loading_similarity
A,0506,1,0.9989709937731047,0.9960039402084362,0.9999667182305745
A,0506,2,0.998782580249112,0.9953178941239926,0.9999339479947672
A,0506,3,0.9978067349939925,0.9918064433024817,0.9999269961627998
A,0506,4,0.9978575333183661,0.9917572329018188,0.9999340024077231
A,0506,5,0.9993207293572169,0.997743300898915,0.9999453354282981
A,0506,6,0.996264078472973,0.9886565335555902,0.9998747199651306
A,0506,7,0.9966794991764261,0.9888746498216521,0.9999510879983904
A,0708,1,0.9996397004429296,0.9988355358478135,0.9999644915897513
A,0708,2,0.9995019000774928,0.9984831298462227,0.9999528578506333
A,0708,3,0.9926369153652638,0.9743808620283718,0.999915703225772
A,0708,4,0.9922287721251243,0.9735385418732602,0.9998359993013516
A,0708,5,0.9147788801379056,0.7630632816118605,0.9999179026747088
A,0708,6,0.8398048114555527,0.5491622428557672,0.9999594365450887
A,0708,7,0.9055777726565262,0.7116808286698368,0.9999918381303702
G,0506,1,1.0,0.9999999999999998,1.0
G,0506,2,1.0,0.9999999999999998,1.0
G,0708,1,1.0,0.9999999999999999,1.0
G,0708,2,1.0,0.9999999999999999,1.0
