group,n,mean_hb,mean_hba1c,mean_phq9,depression_prevalence
0_0,6193,14.561375746810917,5.189568868076861,2.736826883107191,0.06097823783691742
0_1,2714,14.421739130434785,6.5378408253500355,3.037228519061493,0.08000146347639836
1_0,485,11.235257731958763,5.1645360824742275,3.3399692720204226,0.07884960695781874
1_1,351,11.496011396011394,6.717378917378917,4.0484219408790345,0.09997197401285883
