model,n,r2,adj_r2,aic,bic,A_beta,A_p,G_beta,G_p,AG_beta,AG_p,delta_r2
M0_X,9743,0.019090228862426395,0.018485724073311283,56806.62322989368,56856.91336039566,,,,,,,
M1_A,9743,0.019096911019710894,0.01839158779188732,56808.5568583658,56866.031293225205,0.013338276356248485,0.8440153152887391,,,,,6.682157284498835e-06
M2_G,9743,0.023241773600064852,0.022539430756223,56767.30002180656,56824.77445666596,,,0.3102087985280496,1.1619505333650386e-05,,,0.0041448625803539585
M3_AG,9743,0.023242022092600623,0.022439262299785878,56769.297543134744,56833.95628235157,0.0025735103781484026,0.9690149131952597,0.3101310305035793,1.0776541423386464e-05,,,2.484925357704171e-07
M4_INTERACTION,9743,0.02324941575898154,0.022346225040994372,56771.22379225088,56843.066835825135,0.0032625990614362083,0.9609450512129158,0.3112586666743594,5.475972269982102e-06,0.012363152332531928,0.8685872718579007,7.393666380917097e-06
