period,n,reconstruction_energy_fraction,overall_rmse_z,absolute_energy_change_vs_discovery,rmse_ratio_vs_discovery
2005-2008_DISCOVERY,8686,0.9923289747531756,0.0875843892872715,0.0,1.0
2009-2018,26110,0.9932190996404303,0.08824927328209764,0.0008901248872547063,1.007591352754032
2021-2023,5731,0.9955292473069083,0.07897205219758166,0.003200272553732675,0.9016681264803721
