training_cycle,projection_cycle,retained_components,n,reconstruction_energy_fraction,overall_rmse_z,LBXHGB_rmse_z,LBXHGB_rmse_original_units,LBXRBCSI_rmse_z,LBXRBCSI_rmse_original_units,LBXMCVSI_rmse_z,LBXMCVSI_rmse_original_units,LBXRDW_rmse_z,LBXRDW_rmse_original_units
0506,0506,3,3814,0.9936379471146898,0.0797624779285986,0.10310974586656045,0.14939590658475194,0.10308360385016246,0.04957086523626005,0.06421233880578957,0.3446721931330926,0.008193778794140622,0.009330197170513118
0506,0708,3,4872,0.9890311654853219,0.10679464727875167,0.13805449914279647,0.20002742596450102,0.1380194973788986,0.0663708451102522,0.08597443624866678,0.4614844755123207,0.010970718800683317,0.012492278847682284
POOLED_0506_0708_FINAL,POOLED_0506_0708,3,8686,0.9923289747531757,0.08758438928727154,0.11434934640658806,0.17066715999115728,0.11285382191572868,0.054151656594741415,0.06919493999179668,0.3685547012906758,0.009187117188113667,0.010517935384646716
