cycle,bootstrap,component,A,G,AG
0506,0,IC1,0.027911321627036592,-0.0014846591408364264,-0.04939154800074562
0506,0,IC2,-0.03970668014118949,0.044950384051392116,-0.036935697652676
0506,0,IC3,0.14789275230254292,0.060143061862550445,0.0018568547517075588
0506,1,IC1,0.010932392449802361,0.07898377027097495,-0.042847374197315574
0506,1,IC2,0.07546513546460548,0.004902090427952856,-0.08217214759280272
0506,1,IC3,0.1572740381480015,0.07115713313412633,-0.06527508323766718
0506,2,IC1,0.006412332046764297,-0.005962538855448761,0.001713459349947333
0506,2,IC2,0.10274527772599265,0.05632214145539592,-0.06540853260423901
0506,2,IC3,0.1946742812879423,0.09446260256445577,-0.05574922983751321
0506,3,IC1,0.01868422267403406,0.05709197304759253,-0.05845346766317287
0506,3,IC2,0.01839815536638186,0.029794962089771206,-0.06363230337891726
0506,3,IC3,0.07925999653385846,0.09282663692039564,-0.09364527549069433
0506,4,IC1,0.04838043519069081,0.09852361570763843,-0.06979865402673611
0506,4,IC2,0.09771384820927115,0.06395662748807844,-0.042773677200057654
0506,4,IC3,0.12327855865970157,0.05705921841934464,-0.04646461726611364
0506,5,IC1,0.04411616796535925,-0.0057020368906121905,-0.016582849280072094
0506,5,IC2,-0.048438234129621636,0.007465221274406254,-0.0434311316514154
0506,5,IC3,0.09500963871411205,0.04517711336310549,-0.08852451982284656
0506,6,IC1,-0.002051863198072667,0.028247973994945517,0.04869477474025045
0506,6,IC2,0.1316145344497856,0.037489239391463904,-0.06839851025877887
0506,6,IC3,0.26977956320416274,0.08961597710568434,-0.20958634203517001
0506,7,IC1,0.05071543057355212,-0.055084141701198866,-0.015324588227149263
0506,7,IC2,-0.008483303327219647,0.0770406810633102,-0.07230179947745012
0506,7,IC3,0.14998490449671445,0.07550297858241739,-0.03747513560161356
0506,8,IC1,0.10395699842554634,0.058559374284124534,-0.04810497673130242
0506,8,IC2,0.10187317648499924,0.0320672499391948,-0.020093386233193133
0506,8,IC3,0.11275569117387108,0.06474968335231152,-0.016918716993994803
0506,9,IC1,-0.02595986688850711,-0.011371473286604003,0.014582521987689494
0506,9,IC2,0.03842967730602277,0.018028093249184356,-0.0651156903308769
0506,9,IC3,0.08451320078018476,0.09461695636209048,-0.06653476835760283
0506,10,IC1,0.02737271186509909,0.02399635020852682,-0.02478585877075522
0506,10,IC2,0.04000347437636693,0.03426882622336503,-0.06329209791275942
0506,10,IC3,0.07898485273184704,0.04731553577946844,0.004573360170199195
0506,11,IC1,-0.029487056068369186,0.035332480404429635,-0.06560676579355498
0506,11,IC2,0.03662962952847416,0.02595390865730378,-0.07966366576234654
0506,11,IC3,0.0924684350757809,0.08770904476860399,-0.028393004347833938
0506,12,IC1,0.04649918858280727,0.05366432128762107,-0.06408740256280898
0506,12,IC2,0.08064692936469955,0.03949805328670757,-0.014472838154505735
0506,12,IC3,0.05670964464148423,0.06924439029429244,-0.03913341782387114
0506,13,IC1,0.1033162438539803,0.018235944111874347,-0.038452664548096926
0506,13,IC2,-0.05396452507246133,0.04073843302521199,0.009246526685828139
0506,13,IC3,0.13150840459460933,0.07430851017329171,-0.1421439268007263
0506,14,IC1,0.0009454113665403052,-0.06025978299572343,0.03870035507602284
0506,14,IC2,0.025629647375615343,0.0427045136997477,-0.061751206244837
0506,14,IC3,0.19514814537795666,0.06585206860584437,-0.10418370869778565
0506,15,IC1,0.05141582472292697,-0.03739359205648888,-0.0031059857954630118
0506,15,IC2,-0.04006754858890028,0.03758577218627921,-0.03722785587764629
0506,15,IC3,0.07954123701519504,0.08693906341126063,-0.018301043593753053
0506,16,IC1,0.08227454155474884,0.053847125236938825,-0.025528498306665707
0506,16,IC2,-0.01056661740126922,0.06969385288417733,-0.04444135162388241
0506,16,IC3,0.15998839045571372,0.0611734053253893,-0.06119728382731886
0506,17,IC1,-0.07090024056069452,0.011281967690007041,-0.012078832663756742
