cycle,adjustment,outcome,term,beta,se,ci_low,ci_high,p_design_t,design_df,p_BH_A_within_cycle
0506,X1_primary,SOMATIC_SCORE,A_PC1_Z,0.0812742985738956,0.0413210271819698,-0.0067993860351769,0.169347983182968,0.0679755943008798,15,0.0906341257345064
0506,X1_primary,SOMATIC_SCORE,A_PC2_Z,-0.0355589240884119,0.0639172520988546,-0.171795322027945,0.100677473851121,0.586191265998165,15,0.586191265998165
0506,X1_primary,SOMATIC_SCORE,A_PC3_Z,0.168028683833469,0.0381692112798403,0.086672935796678,0.249384431870259,0.0005146306144064,15,0.0020585224576256
0506,X1_primary,SOMATIC_SCORE,A_PC4_Z,0.170940982663555,0.0484075331104929,0.0677627682135251,0.274119197113585,0.0030230822705399,15,0.0060461645410798
0506,X1_primary,SOMATIC_SCORE,G_SCALAR_Z,0.0899175708356041,0.0396295672084828,0.0054491478183529,0.174385993852855,0.0384603310524084,15,
0506,X1_primary,PHQ9_TOTAL,A_PC1_Z,0.127411068464377,0.0900743567444926,-0.064577878285261,0.319400015214015,0.177633978410888,15,0.23684530454785066
0506,X1_primary,PHQ9_TOTAL,A_PC2_Z,-0.0735975281169838,0.128994925151606,-0.348543702710891,0.201348646476923,0.576755169814739,15,0.576755169814739
0506,X1_primary,PHQ9_TOTAL,A_PC3_Z,0.279253851222141,0.0667802610929976,0.136915094063108,0.421592608381174,0.0008020452147979,15,0.0032081808591916
0506,X1_primary,PHQ9_TOTAL,A_PC4_Z,0.331650788252024,0.0931222001190265,0.133165517126798,0.53013605937725,0.0028416477021868,15,0.0056832954043736
0506,X1_primary,PHQ9_TOTAL,G_SCALAR_Z,0.189130820673953,0.101072726450818,-0.0263005961881301,0.404562237536035,0.0809476604945817,15,
0708,X1_primary,SOMATIC_SCORE,A_PC1_Z,0.129114483643245,0.0522457618234253,0.0183584162919142,0.239870550994576,0.025079730543835,16,0.05015946108767
0708,X1_primary,SOMATIC_SCORE,A_PC2_Z,0.0155321465222919,0.0406273253072605,-0.0705939356897553,0.101658228734339,0.707263516341232,16,0.75106547842519
0708,X1_primary,SOMATIC_SCORE,A_PC3_Z,-0.0105892288705959,0.0328096010829352,-0.0801424760716456,0.0589640183304539,0.75106547842519,16,0.75106547842519
0708,X1_primary,SOMATIC_SCORE,A_PC4_Z,0.114835381163174,0.0283535962480363,0.054728442224982,0.174942320101366,0.0009288751286969,16,0.0037155005147876
0708,X1_primary,SOMATIC_SCORE,G_SCALAR_Z,0.110722350494239,0.0596495227490975,-0.0157289888775919,0.237173689866069,0.0819349875853971,16,
0708,X1_primary,PHQ9_TOTAL,A_PC1_Z,0.191211805472037,0.0968865103751578,-0.0141784212953149,0.396602032239389,0.0659589128893313,16,0.1319178257786626
0708,X1_primary,PHQ9_TOTAL,A_PC2_Z,0.0464631560347524,0.0794059957227352,-0.121870035087814,0.214796347157319,0.566618997291758,16,0.566618997291758
0708,X1_primary,PHQ9_TOTAL,A_PC3_Z,-0.076437854175184,0.0663801380846298,-0.217157460663829,0.0642817523134614,0.266436999889594,16,0.35524933318612534
0708,X1_primary,PHQ9_TOTAL,A_PC4_Z,0.24056619663087,0.0529317932124693,0.128355807702472,0.352776585559267,0.0003313822254739,16,0.0013255289018956
