population,rows_total,positive_ogtt_weight,nonmissing__A_OI_PC1_FZ,nonmissing__A_OI_PC2_FZ,nonmissing__A_OI_PC3_FZ,nonmissing__G3_OI_PC1_FZ,nonmissing__G3_OI_PC2_FZ,nonmissing__G3_OI_PC3_FZ,nonmissing__G4_PC1_FZ,nonmissing__G4_PC2_FZ,nonmissing__G4_PC3_FZ,nonmissing__RIDAGEYR,nonmissing__RIAGENDR,nonmissing__RACE,nonmissing__INDFMPIR,nonmissing__EDUC3,nonmissing__SMOKING3,nonmissing__BMXBMI,nonmissing__EGFR_2021,nonmissing__SOMATIC_SCORE,nonmissing__OGTT2H_DISC_Z,nonmissing__OGTT_WT_PERIOD,complete_common
2005-2008,6667,5502,4161,4161,4161,4099,4099,4099,4476,4476,4476,5502,5502,5502,5164,4186,4184,5422,5444,4256,4539,5502,2972
2009-2016,13340,11600,9473,9473,9473,9240,9240,9240,9060,9060,9060,11600,11600,11600,10611,9506,9749,11495,11447,9103,9290,11600,6248
