period,n,weighted_corr_hba1c_fasting_glucose,frozen_pc1_variance_share,full_2pc_reconstruction_energy,full_2pc_rmse_z,pc1_only_reconstruction_energy,pc1_only_rmse_z,corr_scalar_G_with_frozen_PC1,corr_scalar_G_with_frozen_PC2
2005-2008_DISCOVERY,4204,0.8191432519874936,0.9095716259937469,1.0,1.9888570108449035e-16,0.9095716259937469,0.3007131091360223,0.9287752008893235,-0.16309185904935655
2009-2018,12571,0.828737326445392,0.9142841134381666,1.0,2.0279798945150627e-16,0.9141595569326114,0.30735632972803656,0.9395058404443132,-0.21816771561995635
2021-2023,3184,0.8581665235838064,0.9286728617854378,1.0,2.302149662970523e-16,0.9291636873970203,0.3242985577417129,0.9541972382172319,-0.23105848427483733
0910,2746,0.8011584654428799,0.8998110386212858,1.0,1.7033954060852009e-16,0.8944785227585366,0.2888581830157229,0.9286831374913453,-0.2777024608420107
1112,2441,0.8147976453144486,0.9060241325851127,1.0,2.0215352823235987e-16,0.903252922696783,0.3210204395199073,0.9334652718948144,-0.32759569341322564
1314,2551,0.8405643639168824,0.9200924644362689,1.0,2.1409769491765487e-16,0.9187560888535009,0.30988260745190066,0.943925344004779,-0.22228239942548786
1516,2421,0.8427993654801811,0.9212438142681514,1.0,2.1308853399799025e-16,0.9228772880084002,0.3154963701127029,0.9460117442252826,-0.23271236808838605
1718,2412,0.8409713874119097,0.9196125594458824,1.0,2.0911852710972433e-16,0.9218694512163197,0.3000647908931478,0.945204095219561,-0.05584938893808257
2123,3184,0.8581665235838064,0.9286728617854378,1.0,2.302149662970523e-16,0.9291636873970203,0.3242985577417129,0.9541972382172319,-0.23105848427483733
