block,outcome,delta_scalar_G_beyond_XA,delta_PC1_beyond_XA,delta_PCblock_beyond_XA,delta_PCblock_beyond_scalarG,delta_scalarG_beyond_PCblock
G3_core,PHQ9_TOTAL,0.0017887961127896063,0.002338311027492504,0.0029026330587584026,0.0012023947134276042,8.855776745880783e-05
G3_core,SOMATIC_SCORE,0.001539272032841002,0.0021857252490257023,0.0028392699365590024,0.0013349652758409963,3.496737212299594e-05
G4_extended,PHQ9_TOTAL,0.002838862766768202,0.0018335331595563942,0.005945056744992697,0.004733363637707794,0.001627169659483299
G4_extended,SOMATIC_SCORE,0.0025923117527486966,0.0018582326047853898,0.0046267783391287925,0.003580595680720597,0.001546129094340501
