"outcome","term","beta","se","p","ci_low","ci_high"
"PHQ9_TOTAL","A",0.602439849783942,0.172492546325987,0.00358789885984435,0.232480132658919,0.972399566908964
"PHQ9_TOTAL","G_HBA1C",0.202758461752717,0.0910639418387406,0.0429072982882358,0.00744573154766481,0.398071191957769
"PHQ9_TOTAL","AG_HBA1C",-0.232507792894327,0.137987121437839,0.114140586168941,-0.5284607340583,0.0634451482696466
"SOMATIC_SCORE","A",0.380169669076999,0.0980141244080079,0.00167028054291283,0.169950279818784,0.590389058335213
"SOMATIC_SCORE","G_HBA1C",0.111050347825281,0.050393416160691,0.0447912277021729,0.00296721968512904,0.219133475965433
"SOMATIC_SCORE","AG_HBA1C",-0.14000793776363,0.0557116406216733,0.0248307565356156,-0.259497522931055,-0.0205183525962039
