block,variance_target,components_needed,cumulative_variance
G3_core,0.8,2,0.940383220749115
G3_core,0.9,2,0.940383220749115
G3_core,0.95,3,1.0000000000000002
G3_core,0.99,3,1.0000000000000002
G4_extended,0.8,2,0.8123122897024379
G4_extended,0.9,3,0.9273055931953351
G4_extended,0.95,4,1.0000000000000002
G4_extended,0.99,4,1.0000000000000002
