cycle,component,n,A_beta,A_p,G_beta,G_p,AG_beta,AG_p,r2
ALL,IC1,9743,-0.09137918349062582,0.001679098539542381,-0.041506204807220906,0.0005996424507770603,0.02342023459903362,0.3472009901442563,0.0022220683521847473
ALL,IC2,9743,0.0190373454924599,0.5129649481603764,0.032270928442562005,0.007662698458127123,-0.012126185230510112,0.6267035469240514,0.0007758165069992051
ALL,IC3,9743,0.11249105952859209,0.00011060613601905669,0.015619231296231353,0.19657207621559086,-0.039443210068335635,0.11350419751648619,0.001650438016057687
ALL,IC4,9743,0.12503017732407057,1.7169503129220138e-05,0.03370744921655423,0.005305125881908432,-0.029094725593512435,0.24278723141325245,0.0026833149013529844
0506,IC1,4592,-0.05979662110661009,0.13316392450204098,-0.07192965522412734,6.172709253844452e-05,0.05385854467642663,0.12213431101333855,0.003856682400933842
0506,IC2,4592,0.04273418929382225,0.253289075126802,0.04006832209565543,0.017471289245673677,-0.013304704390889658,0.6843627554825186,0.001544530945504552
0506,IC3,4592,0.07164472785929238,0.048048064873241036,0.017034643563783647,0.2967833468929745,-0.03139800594462318,0.32200580012866525,0.0010467689139515013
0506,IC4,4592,0.10653935609224086,0.006793936765767359,0.03826788824743285,0.030923217569322634,-0.029135271911539543,0.39738650591120694,0.0025739672489759613
0708,IC1,5151,-0.12056045065634166,0.004262834676344804,-0.019916514007320307,0.22559859092589224,4.550905952108164e-05,0.998976243487299,0.002219502801765416
0708,IC2,5151,-0.0034751340807722044,0.9371727254865739,0.026676086632565245,0.12060107036698395,-0.010424175706046982,0.7786384331922243,0.0004755205390256645
0708,IC3,5151,0.15161357662035618,0.000735429149849573,0.014964018307521913,0.3923553750583261,-0.048577021652859174,0.19824960021373864,0.002295452396693376
0708,IC4,5151,0.142648792932452,0.0008058328894521538,0.030693117430950406,0.06424119422490233,-0.03025146906366242,0.3979860682881923,0.002858957632146719
