"population","outcome","baseline_X_R2","A_increment_over_X","G_increment_over_X","joint_AG_increment_over_X","unique_A_beyond_G_X","unique_G_beyond_A_X","shared_or_overlap","AxG_extra_beyond_additive","weighted_corr_A_G"
"Pooled","PHQ9_TOTAL",0.0850022056553582,0.00175085591857038,0.00110461310188037,0.0027975352197257,0.00169292211784533,0.00104667930115532,5.79338007250518e-05,0.000307563137084799,0.0446948984351815
"Pooled","SOMATIC_SCORE",0.0718238443384613,0.00268438511714797,0.00124402507573373,0.00385236306998327,0.00260833799424953,0.0011679779528353,7.60471228984372e-05,0.000425433925527741,0.0446948984351815
"0506","PHQ9_TOTAL",0.0732739833568448,0.000498670115926192,0.00133700117489144,0.00177596775709354,0.000438966582202105,0.00127729764116735,5.9703533724087e-05,0.00069770159407101,0.0641963796388994
"0506","SOMATIC_SCORE",0.0572090498419618,0.000838091607367697,0.00107431055406793,0.00184269986118957,0.000768389307121642,0.00100460825382187,6.97023002460551e-05,0.000517696869176132,0.0641963796388994
"0708","PHQ9_TOTAL",0.0896804073343965,0.00328728851006288,0.000846815398997225,0.00410052992333876,0.00325371452434153,0.000813241413275878,3.35739857213468e-05,8.58146963251816e-05,0.0275191814228771
"0708","SOMATIC_SCORE",0.0790057222977321,0.0049198667282303,0.00130364025788055,0.00617253977689225,0.0048688995190117,0.00125267304866195,5.09672092185998e-05,0.000312462331980345,0.0275191814228771
