"population","adjustment","n","design_df","p_PCs_beyond_scalars","F_PCs_beyond_scalars","df_num_PCs","df_den_PCs","p_scalars_beyond_PCs","R2_scalar","R2_PCs","R2_union","delta_PCs_beyond_scalars","delta_scalars_beyond_PCs"
"2005-2008","X0",3830,31,4.2789678411025e-05,11.7626243572114,6,16,0.789058798914716,0.0311498271152296,0.0552107621734853,0.0554521183873897,0.0243022912721601,0.00024135621390442
"2005-2008","X1",3830,31,0.000431153796192892,10.9580493720765,6,11,0.980204210201783,0.0704121990157182,0.0881514873921067,0.0881659378194311,0.0177537388037129,1.44504273243973e-05
"2005-2008","X2",3830,31,0.0102126279144094,5.35300418749239,6,10,0.957557304205755,0.0808793133435977,0.0911145331044197,0.091155347839554,0.0102760344959564,4.08147351342869e-05
"2005-2008","X3",3830,31,0.0140751899013844,5.21473454779368,6,9,0.965949033215993,0.0818594347227536,0.092023231374142,0.0920569292717174,0.0101974945489638,3.36978975753466e-05
"2009-2018","X0",9919,78,6.88576367695944e-10,14.0058235907609,6,60,0.0355025290383613,0.0328093836240424,0.0479299334261649,0.0488652363374217,0.0160558527133793,0.000935302911256763
"2009-2018","X1",9919,78,3.33064464792529e-06,7.96842188741853,6,55,0.166407021605201,0.0731495985925712,0.0820077765854026,0.0825136288006697,0.00936403020809851,0.000505852215267111
"2009-2018","X2",9919,78,0.00516247431488789,3.52191689640392,6,54,0.0859509792012415,0.0842621520141882,0.0872731515938105,0.0879793457357197,0.00371719372153156,0.0007061941419092
"2009-2018","X3",9919,78,0.00612027344686931,3.43594165041783,6,53,0.149260964808795,0.0853850783541359,0.0885279702074397,0.089071033811753,0.00368595545761707,0.000543063604313221
