component,item,loading_0506,loading_0708
IC1,DPQ010,-0.02074830695412376,-0.08247360534619991
IC1,DPQ020,-0.08184552856540614,-0.06818598824663294
IC1,DPQ030,0.7340404974124745,0.6951155485765368
IC1,DPQ040,0.5382672203683514,0.5083260049995592
IC1,DPQ050,0.010891305948973501,0.499602779199953
IC1,DPQ060,-0.1175150218803805,-0.08494963112213932
IC1,DPQ070,-0.12243192510995056,-0.0024437615418413106
IC1,DPQ080,-0.07233260681080196,0.014455004807626015
IC1,DPQ090,0.008771154337418527,-0.018807917959310916
IC2,DPQ010,0.5881902248558369,0.39011255625844127
IC2,DPQ020,0.5599638746490404,0.41389125467093635
IC2,DPQ030,0.40544780455144824,0.30840060590404406
IC2,DPQ040,0.5882921398504166,0.4165506487179445
IC2,DPQ050,0.814636287301451,0.31610524151613895
IC2,DPQ060,0.4847016098322443,0.44306783129334465
IC2,DPQ070,0.5838867273253803,0.7642879037470596
IC2,DPQ080,0.3616295857988794,0.8297331019187734
IC2,DPQ090,-0.018463027412980837,0.0044448627071592695
IC3,DPQ010,0.3923132261437909,0.20497505703928737
IC3,DPQ020,0.5047326015815927,0.4913848035571874
IC3,DPQ030,0.3300451173459192,0.32038167854430843
IC3,DPQ040,0.21324663326755242,0.1762022900571874
IC3,DPQ050,0.030053846939598727,0.2354500578344452
IC3,DPQ060,0.5445827697445956,0.5294754542696953
IC3,DPQ070,0.38447868434385246,0.2698061128567034
IC3,DPQ080,0.5899266299098724,0.29192791159394277
IC3,DPQ090,0.8882063612553436,0.9622325048404327
IC4,DPQ010,0.22457792500509005,0.7557983568721443
IC4,DPQ020,0.386315716636202,0.5463856433952792
IC4,DPQ030,0.048619838653999464,0.18468146481145406
IC4,DPQ040,0.09069521696035407,0.4347240045564971
IC4,DPQ050,-0.17407165762963855,0.38233589880449226
IC4,DPQ060,0.3751428970600401,0.3776059274064145
IC4,DPQ070,-0.07007355537052062,0.10567296110179353
IC4,DPQ080,-0.6014212165658506,-0.1323256777859238
IC4,DPQ090,0.006020712657548506,-0.003700573064315732
