block,cycle,component,variable,label,loading
A,0708,7,LBXMCVSI,MCV,0.10095793867095665
A,0708,7,LBXMCHSI,MCH,-0.021816543096573437
A,0708,7,LBXMC,MCHC,-0.15585111151605596
A,0708,7,LBXRDW,RDW,-0.005651881029431066
G,0506,1,LBXGH,HbA1c,0.7071067811865467
G,0506,1,LBXGLU,Fasting glucose,0.7071067811865482
G,0506,2,LBXGH,HbA1c,-0.7071067811865482
G,0506,2,LBXGLU,Fasting glucose,0.7071067811865467
G,0708,1,LBXGH,HbA1c,0.7071067811865466
G,0708,1,LBXGLU,Fasting glucose,0.7071067811865485
G,0708,2,LBXGH,HbA1c,-0.7071067811865485
G,0708,2,LBXGLU,Fasting glucose,0.7071067811865466
