cycle,component,weighted_corr_with_scalar_A
0506,1,-0.49786169302178424
0506,2,-0.19941634895918137
0506,3,0.08567178756871341
0708,1,-0.5690276618626191
0708,2,-0.25484009002606844
0708,3,0.12952052005358652
POOLED,1,-0.5368224390714957
POOLED,2,-0.23033579071881374
POOLED,3,0.10418008546397581
