block,cycle,n,pc1_variance,pc1_cross_cycle_similarity,pc2_variance,pc2_cross_cycle_similarity,pc3_variance,pc3_cross_cycle_similarity,pc4_variance,pc4_cross_cycle_similarity
G3_core,0506,1805,0.6315288249348449,0.9998832309497812,0.3137779675476438,0.9997221149696918,0.05469320751751114,0.9998369159200726,,
G3_core,0708,2340,0.6262978828311633,0.9998832309497812,0.3123078460744489,0.9997221149696918,0.0613942710943878,0.9998369159200726,,
G4_extended,0506,1429,0.6208910766537824,0.9973202053349235,0.21531103307286353,0.9851489473273198,0.10369935886775139,0.9941182100842081,0.06009853140560269,0.9921080581838359
G4_extended,0708,1762,0.575899863901874,0.9973202053349235,0.2068965321060147,0.9851489473273198,0.1275316536979368,0.9941182100842081,0.08967195029417456,0.9921080581838359
