model,n,r2,adj_r2,aic,bic,parameters
NONLINEAR_ADD,9743,0.02530013946968057,0.024098043033260907,56756.746502118505,56850.14245876503,15
NONLINEAR_INTERACTION,9743,0.027223467944485935,0.02512200645151552,56755.502114362374,56913.55681022573,31
