cycle,model,n,r2,aic,A_beta,A_p,G_beta,G_p,AG_beta,AG_p
0506,ADD,4592,0.02079579255840902,26431.719101395043,0.3537128798886824,0.06155880182520437,0.2659107742461428,0.03397401617070349,,
0506,INTERACTION,4592,0.021802018190591133,26428.997957692096,0.5057304740496997,0.0077408314144316965,0.31170022894320265,0.017886423364948643,-0.40235180312616986,0.012749291469929364
0708,ADD,5151,0.02698517848225135,30288.00077486981,0.6543225958371254,0.005848760149014984,0.3021928179915652,0.00045287874606357516,,
0708,INTERACTION,5151,0.027046622465674908,30289.675489020985,0.6850073846828292,0.0061792008095010705,0.311850573250801,0.0005541080554335644,-0.1055848431724716,0.3979433777624801
